Time,Lon,Lat,Mag,Depth,Description
2015-10-18T16:18:35.520000Z,-173.2608,-16.2018,6.0,12000.0,TONGA ISLANDS
2015-10-20T21:52:02.560000Z,167.3028,-14.8595,7.1,135000.0,VANUATU ISLANDS
2015-10-23T01:40:06.320000Z,6.1653,-54.2258,6.2,11000.0,BOUVET ISLAND REGION
2015-10-23T04:04:18.000000Z,37.17,-45.81,6.0,10000.0,PRINCE EDWARD ISLANDS REGION
2015-10-23T04:04:18.140000Z,37.1711,-45.8146,6.0,10000.0,PRINCE EDWARD ISLANDS REGION
2015-11-04T03:44:15.190000Z,124.8754,-8.3381,6.5,20000.0,TIMOR REGION
2015-11-07T07:04:31.380000Z,-72.3015,-29.4642,6.2,13000.0,OFF COAST OF CENTRAL CHILE
2015-11-07T07:31:43.870000Z,-71.4519,-30.8796,6.8,46000.0,NEAR COAST OF CENTRAL CHILE
2015-11-09T16:03:46.070000Z,-173.0746,51.6394,6.5,15000.0,"ANDREANOF ISLANDS, ALEUTIAN IS."
2015-11-11T01:54:38.570000Z,-72.0068,-29.5067,6.9,12000.0,OFF COAST OF CENTRAL CHILE
2015-11-11T02:46:19.830000Z,-72.0585,-29.5097,6.9,10000.0,OFF COAST OF CENTRAL CHILE
2015-11-18T18:31:04.570000Z,158.4217,-8.8994,6.8,12590.0,SOLOMON ISLANDS
2015-11-21T09:06:13.460000Z,129.9375,-7.1484,6.1,82000.0,BANDA SEA
2015-11-24T13:21:35.730000Z,145.2659,18.7787,6.0,586880.0,MARIANA ISLANDS
2015-11-24T22:45:38.880000Z,-70.9437,-10.5372,7.6,606210.0,PERU-BRAZIL BORDER REGION
2015-11-24T22:50:54.370000Z,-71.0184,-10.0598,7.6,620560.0,PERU-BRAZIL BORDER REGION
2015-11-26T05:45:18.400000Z,-71.2574,-9.1825,6.7,602750.0,PERU-BRAZIL BORDER REGION
2015-11-27T21:00:22.920000Z,-70.6009,-24.828,6.2,34000.0,NEAR COAST OF NORTHERN CHILE
2015-12-04T22:25:00.110000Z,85.0913,-47.6165,7.1,35000.0,SOUTHEAST INDIAN RIDGE
2015-12-09T10:21:48.530000Z,129.5079,-4.1064,6.9,21000.0,BANDA SEA
2015-12-09T12:58:01.780000Z,175.2475,-16.7374,6.1,10000.0,FIJI ISLANDS REGION
2015-12-17T19:49:53.050000Z,-93.6294,15.8009,6.6,85000.0,"NEAR COAST OF CHIAPAS, MEXICO"
2015-12-19T02:10:53.360000Z,169.3857,-18.3819,6.0,10000.0,VANUATU ISLANDS
2016-01-01T02:00:39.950000Z,139.4489,-50.5575,6.3,10000.0,WESTERN INDIAN-ANTARCTIC RIDGE
2016-01-11T16:38:05.910000Z,126.8569,3.8966,6.5,13000.0,"TALAUD ISLANDS, INDONESIA"
2016-01-14T03:25:28.270000Z,-63.3288,-19.7597,6.1,582560.0,SOUTHERN BOLIVIA
2016-01-21T18:06:57.690000Z,-106.9344,18.8288,6.6,10000.0,"OFF COAST OF JALISCO, MEXICO"
2016-01-31T17:39:00.280000Z,169.1522,-63.2868,6.0,10000.0,BALLENY ISLANDS REGION
2016-02-01T19:00:46.260000Z,-179.9563,-30.7636,6.2,391000.0,KERMADEC ISLANDS REGION
2016-02-08T16:19:13.090000Z,154.7073,-6.6214,6.4,31620.0,SOLOMON ISLANDS
2016-02-10T00:33:05.340000Z,-71.5838,-30.5723,6.3,29000.0,NEAR COAST OF CENTRAL CHILE
2016-02-12T10:02:24.050000Z,119.4013,-9.6338,6.3,28000.0,"SUMBA REGION, INDONESIA"
2016-02-17T17:26:02.320000Z,129.0729,0.8451,6.0,10000.0,"HALMAHERA, INDONESIA"
2016-02-27T21:29:43.570000Z,139.5956,-51.7897,6.1,10000.0,WESTERN INDIAN-ANTARCTIC RIDGE
2016-03-12T18:06:44.760000Z,-173.9423,51.5648,6.3,19000.0,"ANDREANOF ISLANDS, ALEUTIAN IS."
2016-03-19T01:35:12.170000Z,-174.1423,51.5145,6.0,17000.0,"ANDREANOF ISLANDS, ALEUTIAN IS."
2016-03-19T11:26:33.230000Z,-60.7019,17.996,6.0,26000.0,LEEWARD ISLANDS
2016-04-01T19:24:55.370000Z,144.887,-3.3585,6.2,6000.0,"NEAR N COAST OF NEW GUINEA, PNG."
2016-04-02T05:50:00.000000Z,-157.9321,57.008,6.2,11400.0,ALASKA PENINSULA
2016-04-03T08:23:52.320000Z,166.8551,-14.3235,6.9,26000.0,VANUATU ISLANDS
2016-04-06T06:58:48.210000Z,166.6245,-14.0683,6.7,24000.0,VANUATU ISLANDS
2016-04-07T03:32:53.500000Z,166.5943,-13.9805,6.7,27590.0,VANUATU ISLANDS
2016-04-14T21:50:27.680000Z,166.4334,-14.5284,6.4,16000.0,VANUATU ISLANDS
2016-04-15T14:11:26.430000Z,-92.367,13.4008,6.1,22410.0,"OFF COAST OF CHIAPAS, MEXICO"
2016-04-16T23:58:36.980000Z,-79.9218,0.3819,7.8,20590.0,NEAR COAST OF ECUADOR
2016-04-19T05:25:39.940000Z,-27.2307,-55.7283,6.2,14000.0,SOUTH SANDWICH ISLANDS REGION
2016-04-20T08:33:47.330000Z,-80.2104,0.639,6.2,14000.0,NEAR COAST OF ECUADOR
2016-04-20T08:35:10.620000Z,-80.0352,0.7079,6.0,10000.0,NEAR COAST OF ECUADOR
2016-04-22T03:03:41.720000Z,-80.5039,-0.2921,6.0,10000.0,NEAR COAST OF ECUADOR
2016-04-25T07:07:08.600000Z,-93.1509,14.479,6.0,16000.0,"NEAR COAST OF CHIAPAS, MEXICO"
2016-04-27T12:51:19.440000Z,-93.0882,14.5178,6.0,16000.0,"NEAR COAST OF CHIAPAS, MEXICO"
2016-04-28T19:33:24.070000Z,167.3786,-16.0429,7.0,24000.0,VANUATU ISLANDS
2016-04-29T01:33:38.910000Z,-103.7363,10.2752,6.6,10000.0,NORTHERN EAST PACIFIC RISE
2016-05-18T07:57:02.650000Z,-79.7899,0.4261,6.7,16000.0,NEAR COAST OF ECUADOR
2016-05-18T16:46:43.860000Z,-79.616,0.4947,6.9,29950.0,NEAR COAST OF ECUADOR
2016-05-20T18:14:04.670000Z,129.8841,-25.5655,6.0,10000.0,"NORTHERN TERRITORY, AUSTRALIA"
2016-05-27T04:08:43.950000Z,-178.6481,-20.8101,6.4,567480.0,FIJI ISLANDS REGION
2016-05-28T05:38:50.550000Z,-178.2038,-21.9724,6.9,405690.0,FIJI ISLANDS REGION
2016-05-28T09:46:59.780000Z,-26.9353,-56.2409,7.2,78000.0,SOUTH SANDWICH ISLANDS REGION
2016-06-05T16:25:33.540000Z,125.6264,-4.587,6.3,429620.0,BANDA SEA
2016-06-06T02:35:32.390000Z,-177.8359,-30.0235,6.1,43830.0,"KERMADEC ISLANDS, NEW ZEALAND"
2016-06-07T10:51:37.720000Z,-105.1731,18.3637,6.3,10000.0,"OFF COAST OF JALISCO, MEXICO"
2016-06-07T19:15:15.330000Z,126.3712,1.2789,6.3,31000.0,NORTHERN MOLUCCA SEA
