Time,Lon,Lat,Mag,Depth,Description
2011-03-09T21:24:01.830000Z,142.8725,38.2422,6.5,14700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-09T21:24:52.110000Z,149.7939,-6.1161,6.3,51000.0,"NEW BRITAIN REGION, P.N.G."
2011-03-10T17:08:37.320000Z,116.73,-6.8567,6.6,518600.0,BALI SEA
2011-03-11T05:46:23.200000Z,142.498,38.2963,9.1,19700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T05:51:20.500000Z,142.24,37.31,6.8,33000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T05:54:31.460000Z,141.3588,37.5085,6.3,35000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T05:55:45.180000Z,143.4095,37.2979,6.4,35000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T05:58:02.320000Z,142.0447,37.6702,6.3,9500.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:00:35.600000Z,142.4987,38.1298,6.2,14000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:06:10.000000Z,142.4312,39.0121,6.3,19500.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:07:20.090000Z,141.9685,36.3894,6.4,29200.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:08:32.540000Z,143.4632,38.9847,6.7,20000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:08:53.900000Z,141.83,36.08,6.2,26000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:12:37.650000Z,144.3645,37.8839,6.2,35000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:12:59.330000Z,141.6791,37.215,6.2,28200.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:15:22.780000Z,143.9202,37.9001,6.3,35000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:15:37.570000Z,141.088,36.2274,7.9,25400.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:18:51.060000Z,142.1388,36.0692,6.6,23000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:20:02.390000Z,141.7291,36.0675,6.5,23000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:21:29.250000Z,142.8821,38.3562,6.2,23000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:23:05.310000Z,142.4578,39.0176,6.2,23100.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:25:50.740000Z,144.6297,38.051,7.6,19800.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:29:15.390000Z,144.2086,37.8634,6.1,35000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:33:16.840000Z,143.6188,37.476,6.4,35000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:42:17.500000Z,142.6,37.42,6.2,9000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:48:45.780000Z,142.7408,37.9801,6.2,14000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:49:15.200000Z,144.2262,37.2943,6.1,35000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:57:14.920000Z,140.9681,35.7965,6.0,33400.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T06:58:59.370000Z,144.7599,37.3742,6.3,30000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T07:14:58.580000Z,141.8862,36.5753,6.3,24700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T07:25:34.980000Z,144.6021,38.0131,6.1,28400.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T07:28:11.690000Z,141.8863,36.8615,6.1,25300.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T07:29:00.340000Z,142.453,38.9995,6.3,33800.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T07:30:15.260000Z,141.2805,37.3577,6.0,27100.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T08:12:06.650000Z,141.5904,36.607,6.2,34600.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T08:15:39.510000Z,144.6323,37.0848,6.1,24600.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T08:19:27.470000Z,141.6639,36.1862,6.5,26000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T08:26:37.750000Z,143.0104,37.3842,6.1,24000.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T08:27:48.910000Z,142.7355,38.0146,6.0,23000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T08:31:07.690000Z,141.3108,37.4456,6.0,29100.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T08:32:57.180000Z,143.0244,39.1383,6.0,4200.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-03-11T10:10:34.540000Z,142.588,39.2163,6.0,28100.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T11:36:40.030000Z,142.5316,39.2219,6.5,18900.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T15:13:14.510000Z,141.8795,35.9967,6.3,19200.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T15:20:04.030000Z,141.9634,36.368,6.0,19000.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-03-11T18:59:17.650000Z,138.542,36.9993,6.3,14600.0,"EASTERN HONSHU, JAPAN"
2011-03-11T19:02:58.640000Z,142.9989,39.3263,6.2,24200.0,"NEAR EAST COAST OF HONSHU, JAPAN"
