Time,Lon,Lat,Deg,Depth,Mag
2011-07-29T07:42:22.560000Z,179.8252,-23.7284,139.56114962318418,522.8,6.7
2011-07-31T14:34:49.280000Z,171.6788,-17.0859,129.46861197357083,22.8,6.1
2011-07-31T23:38:58.090000Z,144.9654,-3.5147,100.75192707820175,19.6,6.6
2011-08-16T11:03:57.630000Z,128.0362,-2.3027,87.19087149054587,38.7,6.0
2011-08-19T03:54:26.500000Z,-176.8522,-16.5461,137.3558782380824,405.9,6.2
2011-08-20T16:55:04.090000Z,168.067,-18.2774,127.53187568475575,34.6,7.1
2011-08-20T17:13:06.480000Z,168.0913,-18.3179,127.57497206564368,31.5,6.5
2011-08-20T18:19:24.610000Z,168.2258,-18.3312,127.68361356379167,31.5,7.0
2011-08-24T17:46:11.560000Z,-74.538,-7.6203,116.26007153113372,149.3,7.0
2011-08-24T23:06:18.750000Z,167.6056,-18.2161,127.14938165531181,18.9,6.1
2011-08-30T06:57:41.540000Z,126.7502,-6.3592,88.89374564807483,467.2,6.9
2011-09-01T06:14:39.900000Z,166.6817,-12.4548,122.79828010583851,52.0,6.0
2011-09-02T13:47:10.700000Z,-63.136,-28.4135,120.33989455650692,592.7,6.7
2011-09-03T04:48:58.780000Z,-26.9231,-56.5611,114.08307587987909,96.3,6.4
2011-09-03T22:55:35.760000Z,169.778,-20.6279,130.2398421030059,136.6,7.0
2011-09-05T09:52:00.820000Z,-173.5514,-15.2459,138.69135264467394,34.6,6.2
2011-09-09T19:26:02.160000Z,164.231,-49.5923,138.33153190374682,15.0,6.0
2011-09-09T19:41:33.130000Z,-127.0648,49.3886,89.37517742275806,15.4,6.5
2011-09-15T07:53:23.440000Z,-178.8955,-35.1395,146.222279010252,42.0,6.0
2011-09-15T19:31:03.160000Z,-179.324,-21.593,138.8949421846694,629.0,7.3
2011-09-22T23:07:03.910000Z,-175.0799,-15.4477,137.80661101150264,12.7,6.4
2011-10-07T08:58:29.360000Z,-178.8015,-32.4215,145.14910562263537,41.7,6.1
2011-10-14T03:35:15.080000Z,147.9311,-6.6259,105.01341286509715,43.2,6.5
2011-10-18T05:05:06.650000Z,151.1049,-5.7682,106.83828964623628,29.8,6.0
2011-10-21T17:57:17.310000Z,-176.0332,-28.8809,145.5142930383213,34.8,7.4
2011-10-27T00:15:24.420000Z,-179.4302,-17.9419,136.48035526413153,606.0,6.0
2011-10-28T18:54:34.750000Z,-76.1207,-14.5572,121.9636494009208,29.0,7.0
2011-11-01T12:32:03.770000Z,-109.1734,19.8381,114.26065756954786,30.0,6.2
2011-11-07T22:35:25.320000Z,-85.7838,11.6918,109.82366487921598,177.2,6.0
2011-11-14T04:05:12.500000Z,126.8799,-0.953,85.43587731996176,24.4,6.4
2011-11-17T01:57:04.790000Z,-81.7057,-1.7479,117.30218456602165,19.6,6.0
2011-11-22T18:48:16.290000Z,-65.1634,-15.3083,114.19234804065836,560.3,6.6
2011-11-28T12:26:47.640000Z,153.801,-5.5101,108.68336157088218,43.2,6.1
2011-12-07T22:23:07.780000Z,-71.1344,-27.9324,126.02844585005838,13.8,6.1
2011-12-11T01:47:25.400000Z,-99.9298,17.9024,112.24375313799277,65.4,6.5
2011-12-11T09:54:56.480000Z,-28.2135,-56.049,114.33020854867328,130.6,6.3
2011-12-14T05:04:57.810000Z,146.814,-7.5278,104.7559069884618,128.5,7.1
2011-12-26T04:48:06.170000Z,-173.7235,-16.112,139.19485911277107,66.9,6.0
2012-01-09T04:07:15.020000Z,165.3084,-10.5892,120.55975436688652,33.3,6.4
2012-01-15T13:40:21.400000Z,-55.8579,-60.701,129.27538950606743,17.3,6.6
2012-01-15T14:21:34.410000Z,-56.0334,-60.8685,129.40332550007707,23.0,6.0
2012-01-21T18:47:13.480000Z,-93.1422,14.933,111.40363761598573,63.5,6.2
2012-01-22T05:53:43.130000Z,-25.2293,-56.9317,113.59351909108518,18.7,6.0
2012-01-23T16:04:53.300000Z,-73.1816,-36.4552,131.67820039007213,23.5,6.1
2012-01-24T00:52:04.760000Z,178.5999,-24.8986,139.32963958439652,579.0,6.3
2012-01-30T05:10:59.460000Z,-75.6584,-14.2139,121.40045093895645,34.2,6.4
2012-02-02T13:34:41.010000Z,167.1814,-17.7532,126.54668389039712,27.3,7.0
2012-02-03T03:46:23.550000Z,167.3213,-17.421,126.44516813994525,24.7,6.1
2012-02-05T00:15:40.050000Z,168.9728,-18.9862,128.64365956813475,158.8,6.1
2012-02-05T16:40:41.110000Z,167.2275,-17.9957,126.73093210992164,19.5,6.0
2012-02-10T01:47:33.110000Z,-178.4364,-18.012,137.23375386740878,577.4,6.0
2012-02-14T08:19:57.460000Z,161.1898,-10.371,117.37502754193729,69.3,6.4
2012-02-26T05:21:24.980000Z,-177.2244,-24.6232,142.2631286985069,17.2,6.0
2012-03-03T12:19:55.730000Z,170.3882,-22.1221,131.58205444649434,17.4,6.6
2012-03-05T07:46:09.330000Z,-63.2916,-28.2579,120.36969976935772,551.9,6.1
2012-03-09T07:09:53.320000Z,169.7495,-19.2236,129.36876010845114,33.7,6.6
2012-03-14T21:13:10.250000Z,151.0915,-5.5834,106.7070883758333,46.6,6.2
2012-03-20T17:56:19.060000Z,140.263,-3.8333,97.41394442416711,69.2,6.3
2012-03-20T18:02:47.620000Z,-98.3694,16.4734,112.7517307588612,19.4,7.5
2012-03-21T22:15:05.590000Z,146.0083,-6.2233,103.30314040150394,117.7,6.6
2012-03-25T22:37:06.560000Z,-72.1268,-35.2035,130.35534977344912,28.2,7.1
2012-03-26T18:12:53.010000Z,-104.1936,10.0652,121.07219941617115,10.0,6.0
2012-04-02T17:36:42.500000Z,-98.4615,16.3729,112.88257006983609,16.3,6.1
2012-04-06T16:15:56.200000Z,153.5746,-4.4789,107.83246260119273,93.4,6.1
2012-04-11T22:41:46.780000Z,-127.629,43.5513,95.21645695777569,16.4,6.0
2012-04-11T22:55:10.820000Z,-102.8762,18.2042,113.28236903411215,27.6,6.7
2012-04-12T07:06:01.370000Z,-113.0595,28.8579,107.02439441167427,17.0,6.1
2012-04-12T07:15:49.170000Z,-113.127,28.8386,107.06096239604254,10.0,7.0
2012-04-14T10:56:18.310000Z,-65.3721,-57.5759,133.31138775808978,8.4,6.2
2012-04-14T22:05:26.550000Z,168.7653,-18.9878,128.48961545762134,11.4,6.3
2012-04-17T03:50:15.280000Z,-71.5641,-32.6374,128.73943343253703,29.7,6.7
2012-04-17T07:13:49.880000Z,147.125,-5.5336,103.69577707875787,208.2,6.9
2012-04-17T19:03:57.120000Z,-16.8077,-59.1876,111.79526571397642,13.6,6.2
2012-04-21T01:16:53.670000Z,134.3225,-1.6946,91.53351820732878,24.4,6.7
2012-04-21T01:25:14.110000Z,134.2387,-1.6998,91.47362029808811,24.0,6.0
2012-04-23T17:36:21.120000Z,-177.3408,-28.6015,144.39005570744803,113.8,6.0
2012-04-28T10:08:07.220000Z,-174.6864,-18.7293,140.35015067237032,132.5,6.7
2012-05-01T22:43:35.030000Z,-93.0427,14.4544,111.74731018914213,28.7,6.0
2012-05-14T10:00:39.800000Z,-69.7926,-17.7968,119.21676844873141,108.7,6.3
2012-05-18T02:00:43.710000Z,-80.4601,-44.6403,139.7410670108988,35.0,6.3
2012-05-23T22:59:54.180000Z,139.5911,-50.4928,123.60322814717547,19.1,6.0
2012-05-28T05:07:23.520000Z,-63.1134,-28.021,120.10844428899759,591.1,6.7
2012-06-02T07:52:54.600000Z,-63.6574,-22.1017,117.15465946147586,539.4,6.0
2012-06-04T00:45:16.380000Z,-82.6322,5.2944,112.74467887460627,15.0,6.3
2012-06-04T03:15:24.590000Z,-82.5631,5.4503,112.58251075288366,9.5,6.3
2012-06-07T04:05:04.070000Z,-70.8547,-36.0516,129.81315537220246,5.8,6.0
2012-06-07T16:03:18.520000Z,-72.4723,-15.9117,120.07907233501943,106.7,6.2
2012-07-03T10:36:15.890000Z,173.66,-40.06,142.40700633541675,239.0,6.3
2012-07-06T02:28:22.550000Z,167.3043,-14.6567,124.68584743026364,164.8,6.4
2012-07-25T11:20:27.880000Z,159.8561,-9.669,115.92524400936577,23.7,6.5
2012-07-28T20:03:59.070000Z,153.1678,-4.654,107.64569075413647,58.8,6.5
2012-08-02T09:38:31.250000Z,-74.2726,-8.454,116.62118070422878,148.8,6.0
2012-08-02T09:56:43.210000Z,153.3404,-4.6627,107.77997265864585,61.1,6.1
2012-08-19T22:41:50.220000Z,144.6464,-4.8489,101.38260689190541,80.2,6.2
2012-08-27T04:37:19.650000Z,-88.6604,12.1318,111.18313802355104,16.0,7.3
2012-09-05T13:09:10.400000Z,166.5032,-12.5373,122.72083998642746,27.0,6.0
2012-09-05T14:42:07.730000Z,-85.3884,10.0242,110.88367469996052,20.7,7.6
2012-09-08T10:51:45.590000Z,135.0978,-3.2181,93.11236210607066,32.3,6.1
2012-09-25T23:45:24.370000Z,-110.1836,24.7742,110.01805174241247,8.1,6.3
2012-09-30T16:31:34.070000Z,-76.3716,1.9079,110.98055678312117,155.2,7.2
2012-10-08T06:26:23.590000Z,-109.6135,25.0882,109.54228137262334,17.0,6.0
2012-10-08T11:43:34.100000Z,129.2347,-4.5414,89.55902815105796,29.6,6.2
2012-10-09T12:32:08.820000Z,153.9333,-60.6414,134.29868742211636,12.1,6.6
2012-10-12T00:31:31.370000Z,134.0822,-4.8858,93.4321114561915,34.6,6.6
2012-10-20T23:00:32.930000Z,166.6105,-13.573,123.47399088780182,43.5,6.2
2012-10-24T00:45:33.800000Z,-85.3716,10.0745,110.83424570485343,22.3,6.4
2012-10-28T03:04:07.790000Z,-132.1724,52.6777,86.37648767291337,7.4,7.8
2012-10-28T18:54:20.230000Z,-132.6591,52.5384,86.53046551864665,5.1,6.4
2012-10-30T02:49:01.320000Z,-132.1115,52.145,86.9068268050969,9.5,6.2
2012-11-07T16:35:49.310000Z,-92.0669,14.0318,111.56727834146194,38.7,7.4
2012-11-08T02:01:49.700000Z,-128.5411,49.1261,89.74229145891607,11.0,6.2
2012-11-10T14:57:50.210000Z,-75.0884,-8.9367,117.54265471883265,128.6,6.0
2012-11-11T22:14:59.050000Z,-92.3318,14.0705,111.68001807310272,18.6,6.4
2012-11-13T04:31:30.980000Z,-77.0841,-45.669,137.71043835064089,35.0,6.0
2012-11-14T19:02:05.690000Z,-71.3863,-29.1789,126.87157883782838,61.5,6.2
2012-11-15T09:20:21.450000Z,-100.5249,18.1995,112.25408727739185,57.9,6.1
2012-11-19T09:44:35.480000Z,151.6402,-5.7528,107.22906620609561,22.9,6.0
2012-11-29T11:10:25.720000Z,145.7396,-3.592,101.38496571083368,25.0,6.0
2012-12-02T00:54:23.210000Z,167.6748,-17.0957,126.50607846213819,40.0,6.1
2012-12-07T18:19:07.880000Z,176.0726,-38.3574,143.6265680798718,171.0,6.3
2012-12-10T16:53:09.490000Z,129.8684,-6.4969,91.31470889360143,161.5,7.1
2012-12-14T10:36:01.840000Z,-119.6273,31.1122,106.3781024947016,15.8,6.4
2012-12-15T19:30:03.140000Z,153.0768,-4.6402,107.56878009424597,58.5,6.1
2012-12-21T22:28:08.080000Z,167.2778,-14.3591,124.47492021203657,198.1,6.7
2013-01-30T20:15:43.390000Z,-70.8883,-28.1096,125.93824214387261,46.1,6.8
2013-01-30T23:03:47.710000Z,166.4759,-10.6598,121.46227986948314,36.0,6.1
2013-01-31T03:33:45.270000Z,166.5421,-10.6377,121.49599529106808,22.2,6.1
2013-02-01T05:36:42.100000Z,165.4883,-11.1624,121.07084379344293,14.8,6.0
2013-02-01T22:16:37.420000Z,165.4374,-11.0263,120.94360400733937,30.0,6.4
2013-02-01T22:18:36.330000Z,165.4699,-11.1551,121.05249865144951,30.0,6.3
2013-02-06T00:07:21.730000Z,165.3291,-10.7807,120.70171518145442,7.5,6.0
2013-02-06T01:12:26.380000Z,165.1418,-10.864,120.61910374486872,23.8,7.9
2013-02-06T01:23:23.580000Z,164.93,-11.2569,120.72213702174889,34.0,7.1
2013-02-06T01:54:15.040000Z,165.8168,-10.5087,120.87926422947403,9.9,7.0
2013-02-06T06:35:22.030000Z,164.6145,-10.8605,120.22874475751665,29.0,6.1
2013-02-06T11:53:54.820000Z,165.8721,-11.2312,121.39832401708263,15.0,6.1
2013-02-07T00:30:12.810000Z,165.0307,-11.7566,121.12433908269664,25.3,6.0
2013-02-07T18:59:16.580000Z,165.7077,-11.0207,121.13850745473876,13.7,6.7
2013-02-08T11:12:13.280000Z,166.0088,-10.8703,121.25992932627292,12.7,6.8
2013-02-08T15:26:38.770000Z,166.1453,-10.8933,121.37525164244715,22.4,7.0
2013-02-09T14:16:06.960000Z,-77.462,1.0345,112.36388430690695,144.2,7.0
2013-02-09T21:02:22.690000Z,165.8868,-10.9577,121.2283189179247,17.9,6.6
2013-02-10T18:39:36.130000Z,165.5442,-10.9733,120.98707891377613,35.7,6.0
2013-02-22T12:01:58.670000Z,-63.1349,-27.9052,120.0607505322529,585.6,6.1
2013-03-10T22:51:51.130000Z,148.2433,-6.6966,105.29441285209067,28.9,6.5
2013-03-19T03:29:02.700000Z,-24.5697,-58.9815,114.62754721592704,52.0,6.0
2013-03-24T08:13:45.160000Z,173.4536,-20.8706,133.12977579873538,11.7,6.0
2013-03-25T23:02:12.520000Z,-90.4772,14.5905,110.2330627234904,193.7,6.2
2013-04-06T04:42:36.190000Z,138.4743,-3.4714,95.82750336729515,69.4,7.0
2013-04-13T22:49:49.200000Z,169.6524,-19.103,129.2225129923406,269.3,6.0
2013-04-14T01:32:24.640000Z,154.6407,-6.5017,109.96304939349913,47.1,6.5
2013-04-16T22:55:27.360000Z,142.5671,-3.2237,98.75513460657761,16.3,6.6
2013-04-20T04:51:12.270000Z,130.2233,-6.2786,91.43792874858762,113.9,6.0
2013-04-22T01:16:32.560000Z,-102.1983,18.0412,113.13462375045529,31.5,6.1
2013-04-23T23:14:43.060000Z,152.2033,-3.8359,106.38553762985377,24.4,6.5
2013-04-26T06:53:28.910000Z,-178.8979,-28.7301,143.28931834380703,355.4,6.2
2013-05-11T20:46:57.260000Z,-175.1186,-17.9392,139.5130078564982,210.3,6.3
2013-05-14T00:32:26.430000Z,145.2903,18.7672,86.14906248714887,611.7,6.8
2013-05-20T09:49:08.210000Z,-80.7244,-45.0062,140.01624348194525,35.0,6.3
2013-05-23T17:19:04.840000Z,-177.2133,-23.0783,141.34638119401168,177.7,7.4
2013-05-23T21:07:46.050000Z,-175.7552,-20.6244,140.85340479642886,151.6,6.3
2013-06-05T04:47:27.260000Z,166.3017,-11.4032,121.82736316799708,53.6,6.0
2013-06-15T11:20:37.660000Z,179.4859,-33.9023,144.499123783369,210.0,6.0
2013-06-15T17:34:29.170000Z,-87.0457,11.7418,110.54161808778856,41.4,6.4
2013-07-04T17:15:57.680000Z,155.7104,-7.0042,111.09106073825743,55.2,6.0
2013-07-07T18:35:31.380000Z,153.9277,-4.0134,107.78568152981987,387.1,7.3
2013-07-07T20:30:07.380000Z,149.7262,-6.036,105.97927774518303,65.9,6.6
2013-07-15T14:03:41.730000Z,-25.2274,-61.0527,116.18314069967067,19.9,7.3
2013-07-17T02:37:43.740000Z,-71.7458,-15.6661,119.37970297204413,13.0,6.0
2013-07-21T05:09:32.170000Z,174.3589,-41.6856,143.39113818163764,16.3,6.5
2013-07-22T07:01:41.750000Z,34.8615,-46.0946,87.24078671256491,3.2,6.3
2013-07-24T03:32:34.430000Z,-177.1534,-23.1593,141.43937302492185,168.0,6.0
2013-07-26T07:07:17.330000Z,167.6206,-15.3205,125.34491547778782,141.0,6.1
2013-07-26T21:33:00.060000Z,-24.28,-58.0352,113.90619460422813,17.0,6.3
