Time,Lon,Lat,Dep,Mag
20190121_235922,119.1472,-10.3113,16.77,6.0
20190122_051003,119.0309,-10.4663,27.01,6.4
20190406_215501,125.014,-6.8492,539.0,6.3
20130707_203007,149.7262,-6.036,65.9,6.6
20131016_103100,154.9648,-6.4787,58.0,6.8
20130715_140341,-25.2274,-61.0527,19.9,7.3
20140413_123619,161.9601,-11.4669,34.2,7.4
20110101_095658,-63.2373,-26.8513,584.3,7.0
20110113_164310,168.4717,-20.6703,29.7,6.0
20110407_131123,-94.1439,17.2651,165.1,6.7
20110601_125521,-73.8322,-37.5547,10.0,6.3
20111014_033515,147.9311,-6.6259,43.2,6.5
20111027_001524,-179.4302,-17.9419,606.0,6.0
20111122_184816,-65.1634,-15.3083,560.3,6.6
20111211_095456,-28.2135,-56.049,130.6,6.3
20120121_184713,-93.1422,14.933,63.5,6.2
20120417_071349,147.125,-5.5336,208.2,6.9
20120528_050723,-63.1134,-28.021,591.1,6.7
20150323_045137,-69.1883,-18.3544,127.1,6.4
20110830_065741,126.7502,-6.3592,467.2,6.9
20111214_050457,146.814,-7.5278,128.5,7.1
20170614_072905,-91.9882,14.9823,94.0,6.9
20190530_090328,-89.3663,13.1462,25.0,6.6
20190619_172448,138.4599,-2.243,10.0,6.3
20190624_025339,129.1692,-6.4078,212.0,7.3
20190714_053923,120.3574,-18.2237,10.0,6.6
20200717_025022,147.7754,-7.8386,73.0,7.0
20200506_135356,129.8613,-6.7949,107.0,6.8
20150916_231841,-71.4262,-31.5622,28.41,7.0
20160528_094659,-26.9353,-56.2409,78.0,7.2
20140707_112354,-92.4614,14.724,53.0,6.9
20140824_232143,-73.45,-14.589,74.4,6.8
20150430_104505,151.8023,-5.3537,54.7,6.6
20140113_040104,-66.8685,18.9922,30.9,6.3
20150227_134505,122.4906,-7.358,559.1,7.0
20130209_141606,-77.462,1.0345,144.2,7.0
20130707_183531,153.9277,-4.0134,387.1,7.3
20160614_134922,168.8279,-18.7609,111.0,6.2
20180819_001940,-178.1536,-18.1125,600.0,8.2
20180509_075755,151.7962,-5.8916,10.0,6.0
20180910_041902,-179.3728,-31.7447,115.0,6.9
20191102_180841,-26.2338,-55.6659,8.0,6.1
20200318_031345,167.0277,-13.1364,176.0,6.1
20161205_011304,123.3802,-7.3158,526.0,6.3
20180821_213147,-62.907,10.7791,146.18,7.3
20140315_235132,-80.9351,-5.6717,26.5,6.3
20150216_220054,-28.2292,-55.5186,18.1,6.3
20150310_205544,-73.0377,6.7968,162.0,6.2
20170512_104126,-90.0562,12.9108,10.0,6.2
20180228_024545,142.4795,-6.1673,16.0,6.1
20180907_021204,-78.8955,-2.3453,93.53,6.2
20181115_200222,-25.546,-56.7065,15.0,6.4
20200726_005359,-25.4055,-60.7812,10.0,6.4
20180110_025131,-83.5193,17.4743,10.0,7.5
20131012_021028,-62.3025,10.8358,82.1,6.0
20160212_100224,119.4013,-9.6338,28.0,6.3
20161221_001714,127.9206,-7.5082,152.0,6.7
20200926_171022,31.7636,-48.0314,10.0,6.1
20110824_174611,-74.538,-7.6203,149.3,7.0
20110903_044858,-26.9231,-56.5611,96.3,6.4
20111128_122647,153.801,-5.5101,43.2,6.1
20160804_141513,-66.0261,-22.3087,270.0,6.2
20160819_073222,-31.874,-55.2793,10.0,7.4
20130615_173429,-87.0457,11.7418,41.4,6.4
20130704_171557,155.7104,-7.0042,55.2,6.0
20140315_085920,-76.352,-14.1014,10.0,6.1
20140402_161326,-82.3332,7.851,24.6,6.0
20140404_114033,161.5607,-10.4868,71.0,6.0
20140504_092515,178.2219,-25.9072,627.3,6.4
20150718_022732,165.1009,-10.4574,11.8,6.9
20150815_074707,163.8328,-10.9382,19.2,6.4
20150916_231609,-71.9189,-31.6,35.0,6.1
20150505_014404,151.8641,-5.5168,29.6,7.5
20160415_141126,-92.367,13.4008,22.41,6.1
20160821_034523,-31.7546,-55.2775,10.0,6.4
20160319_112633,-60.7019,17.996,26.0,6.0
20160823_193944,122.4255,-7.2805,532.4,6.0
20140629_155228,-175.5143,-15.1011,26.0,6.4
20150907_084609,179.1278,-24.2427,535.0,6.0
20141014_035137,-88.072,12.5893,63.9,7.3
20140501_063636,170.3099,-21.4381,116.4,6.6
20140101_160329,167.2723,-13.8767,194.8,6.5
20141206_220510,130.4829,-6.11,116.0,6.0
20200821_040952,123.4829,-6.6869,627.76,6.9
20101208_052435,-25.64,-56.4318,29.0,6.3
