Event,Ev_lat,Ev_lon,Depth,Mag,Phase,Null,Quality
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Fair
20150824_094125,-30.6497,-179.0971,224.5,6.0,SKKS,True,Fair
20150916_225915,-31.618,-71.745,26.7,6.4,SKKS,True,Fair
20180114_091845,-15.7589,-74.7095,39.0,7.1,SKKS,True,Good
20180819_042858,-16.9783,-178.0332,415.6,6.8,SKKS,True,Fair
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKKS,True,Fair
20120124_005204,-24.8986,178.5999,579.0,6.3,SKKS,False,Fair
20120423_173621,-28.6015,-177.3408,113.8,6.0,SKKS,False,Fair
20120428_100807,-18.7293,-174.6864,132.5,6.7,SKKS,True,Fair
20120703_103615,-40.06,173.66,239.0,6.3,SKKS,True,Good
20120706_022822,-14.6567,167.3043,164.8,6.4,SKKS,True,Fair
20121114_190205,-29.1789,-71.3863,61.5,6.2,SKKS,False,Fair
20121221_222808,-14.3591,167.2778,198.1,6.7,SKKS,True,Fair
20130605_044727,-11.4032,166.3017,53.6,6.0,SKKS,True,Fair
20130724_033234,-23.1593,-177.1534,168.0,6.0,SKKS,True,Fair
20130726_070717,-15.3205,167.6206,141.0,6.1,SKKS,True,Fair
20130828_025441,-27.7888,179.7461,485.1,6.2,SKKS,True,Fair
20131023_082329,-22.9722,-177.0404,157.7,6.0,SKKS,True,Good
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,True,Fair
20140101_160329,-13.8767,167.2723,194.8,6.5,SKKS,False,Good
20140202_092636,-32.9594,-177.9203,32.6,6.4,SKKS,True,Good
20140207_084013,-15.0764,167.4164,124.6,6.5,SKKS,False,Fair
20140305_095658,-14.835,169.8319,648.0,6.4,SKKS,False,Poor
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,False,Fair
20140326_032936,-26.1642,179.2589,495.6,6.4,SKKS,True,Good
20140501_063636,-21.4381,170.3099,116.4,6.6,SKKS,False,Fair
20140703_195007,-30.4601,-176.4451,35.0,6.4,SKKS,True,Good
20140703_195010,-30.35,-176.3,49.1,6.3,SKKS,True,Good
20140708_125625,-17.6864,168.3982,110.2,6.2,SKKS,True,Good
20140708_125630,-17.79,168.3,114.6,6.2,SKKS,True,Fair
20140904_053349,-21.5167,-173.1919,32.4,6.0,SKKS,True,Good
20141116_223323,-37.5989,179.6109,34.5,6.7,SKKS,True,Fair
20160614_134922,-18.7609,168.8279,111.0,6.2,SKKS,True,Good
20160720_151316,-18.9285,169.0547,167.0,6.1,SKKS,False,Fair
20160725_172650,-26.1049,-70.5074,72.0,6.1,SKKS,False,Good
20161104_162043,-35.1033,-70.9964,90.79,6.4,SKKS,False,Fair
20161120_205743,-31.6428,-68.7645,115.79,6.4,SKKS,False,Good
20170415_081943,-23.2706,-67.7655,155.0,6.2,SKKS,False,Good
20170509_135210,-14.5884,167.3767,169.0,6.8,SKKS,False,Fair
20170617_222601,-24.0934,179.6059,511.0,6.1,SKKS,True,Good
20170926_042000,-23.7135,-176.9366,98.07,6.4,SKKS,True,Fair
20180114_091845,-15.7589,-74.7095,39.0,7.1,SKKS,False,Poor
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Fair
20150123_034727,-17.064,168.5545,223.9,6.8,SKKS,True,Good
20191203_084636,-18.5597,-70.6504,32.44,6.0,SKKS,True,Good
20121114_190205,-29.1789,-71.3863,61.5,6.2,SKKS,True,Good
20130615_112037,-33.9023,179.4859,210.0,6.0,SKKS,True,Good
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,False,Fair
20140202_092636,-32.9594,-177.9203,32.6,6.4,SKKS,True,Fair
20140207_084013,-15.0764,167.4164,124.6,6.5,SKKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Good
20140326_032936,-26.1642,179.2589,495.6,6.4,SKKS,True,Good
20121221_222808,-14.3591,167.2778,198.1,6.7,SKKS,True,Fair
20130413_224949,-19.103,169.6524,269.3,6.0,SKKS,True,Good
20130426_065328,-28.7301,-178.8979,355.4,6.2,SKKS,False,Fair
20130726_070717,-15.3205,167.6206,141.0,6.1,SKKS,True,Good
20130828_025441,-27.7888,179.7461,485.1,6.2,SKKS,True,Fair
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,True,Good
20140101_160329,-13.8767,167.2723,194.8,6.5,SKKS,True,Fair
20140202_092636,-32.9594,-177.9203,32.6,6.4,SKKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,False,Fair
20140326_032936,-26.1642,179.2589,495.6,6.4,SKKS,True,Fair
20140509_103219,-18.935,-175.5746,172.3,6.0,SKKS,True,Fair
20140703_195007,-30.4601,-176.4451,35.0,6.4,SKKS,True,Good
20140703_195010,-30.35,-176.3,49.1,6.3,SKKS,True,Good
20140924_111613,-23.7849,-66.5888,204.5,6.2,SKKS,True,Fair
20141101_185722,-19.8023,-177.8334,435.3,7.1,SKKS,True,Good
20141116_223323,-37.5989,179.6109,34.5,6.7,SKKS,True,Fair
20150202_104948,-32.6484,-67.1501,172.7,6.3,SKKS,True,Good
20150424_033642,-42.1047,173.108,50.8,6.0,SKKS,True,Good
20150428_163939,-20.8766,-178.5801,584.1,6.1,SKKS,True,Good
20150530_171839,-15.7607,-173.4612,37.9,6.0,SKKS,True,Fair
20150610_135208,-22.4098,-68.4519,121.8,6.1,SKKS,False,Poor
20150919_050647,-29.6411,-72.077,6.0,6.1,SKKS,True,Good
20151020_215202,-14.8595,167.3028,135.0,7.1,SKKS,True,Fair
20151107_070431,-29.4642,-72.3015,13.0,6.2,SKKS,False,Fair
20151111_015438,-29.5067,-72.0068,12.0,6.9,SKKS,True,Good
20160725_172650,-26.1049,-70.5074,72.0,6.1,SKKS,True,Fair
20120210_014733,-18.012,-178.4364,577.4,6.0,SKKS,True,Fair
20120423_173621,-28.6015,-177.3408,113.8,6.0,SKKS,True,Fair
20120607_040504,-36.0516,-70.8547,5.8,6.0,SKKS,True,Good
20120607_160318,-15.9117,-72.4723,106.7,6.2,SKKS,True,Fair
20120703_103615,-40.06,173.66,239.0,6.3,SKKS,True,Good
20120706_022822,-14.6567,167.3043,164.8,6.4,SKKS,True,Good
20121114_190205,-29.1789,-71.3863,61.5,6.2,SKKS,True,Good
20121221_222808,-14.3591,167.2778,198.1,6.7,SKKS,True,Good
20130130_201543,-28.1096,-70.8883,46.1,6.8,SKKS,False,Fair
20130201_221637,-11.0263,165.4374,30.0,6.4,SKKS,True,Fair
20130523_210746,-20.6244,-175.7552,151.6,6.3,SKKS,False,Fair
20130726_070717,-15.3205,167.6206,141.0,6.1,SKKS,True,Fair
20130812_094931,-5.4117,-81.979,12.8,6.2,SKKS,True,Fair
20131117_090456,-60.3783,-46.5876,7.9,7.8,SKKS,True,Fair
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,True,Good
20140202_092636,-32.9594,-177.9203,32.6,6.4,SKKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Good
20140323_182001,-19.7033,-70.7814,13.9,6.2,SKKS,True,Good
20140326_032936,-26.1642,179.2589,495.6,6.4,SKKS,True,Good
20121202_005423,-17.0957,167.6748,40.0,6.1,SKKS,True,Fair
20130130_201543,-28.1096,-70.8883,46.1,6.8,SKKS,True,Good
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Fair
20140323_182001,-19.7033,-70.7814,13.9,6.2,SKKS,True,Fair
20140708_125625,-17.6864,168.3982,110.2,6.2,SKKS,True,Fair
20140708_125630,-17.79,168.3,114.6,6.2,SKKS,True,Fair
20140824_232141,-14.52,-73.535,70.0,6.8,SKKS,True,Fair
20101228_083417,-23.4129,-179.7154,550.9,6.3,SKKS,True,Good
20110221_105751,-26.0435,178.4765,551.8,6.5,SKKS,True,Good
20110403_140708,-17.6066,-178.5336,547.2,6.4,SKKS,True,Good
20110418_130304,-34.286,179.9433,98.1,6.5,SKKS,True,Fair
20110729_074222,-23.7284,179.8252,522.8,6.7,SKKS,True,Good
20111028_185434,-14.5572,-76.1207,29.0,7.0,SKKS,True,Fair
20120124_005204,-24.8986,178.5999,579.0,6.3,SKKS,True,Good
20120130_051059,-14.2139,-75.6584,34.2,6.4,SKKS,False,Good
20120205_001540,-18.9862,168.9728,158.8,6.1,SKKS,True,Fair
20120423_173621,-28.6015,-177.3408,113.8,6.0,SKKS,True,Good
20120428_100807,-18.7293,-174.6864,132.5,6.7,SKKS,True,Good
20120706_022822,-14.6567,167.3043,164.8,6.4,SKKS,True,Good
20121114_190205,-29.1789,-71.3863,61.5,6.2,SKKS,True,Good
20121221_222808,-14.3591,167.2778,198.1,6.7,SKKS,True,Good
20140202_092636,-32.9594,-177.9203,32.6,6.4,SKKS,True,Good
20140207_084013,-15.0764,167.4164,124.6,6.5,SKKS,True,Good
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Good
20140323_182001,-19.7033,-70.7814,13.9,6.2,SKKS,True,Good
20140326_032936,-26.1642,179.2589,495.6,6.4,SKKS,False,Fair
20140703_195007,-30.4601,-176.4451,35.0,6.4,SKKS,True,Good
20140703_195010,-30.35,-176.3,49.1,6.3,SKKS,True,Good
20140708_125625,-17.6864,168.3982,110.2,6.2,SKKS,False,Good
20140708_125630,-17.79,168.3,114.6,6.2,SKKS,True,Fair
20140904_053349,-21.5167,-173.1919,32.4,6.0,SKKS,True,Fair
20141101_185722,-19.8023,-177.8334,435.3,7.1,SKKS,True,Fair
20141116_223323,-37.5989,179.6109,34.5,6.7,SKKS,True,Good
20150123_034727,-17.064,168.5545,223.9,6.8,SKKS,True,Good
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKKS,True,Fair
20150530_171839,-15.7607,-173.4612,37.9,6.0,SKKS,True,Good
20150610_135208,-22.4098,-68.4519,121.8,6.1,SKKS,True,Good
20150616_061700,-20.3973,-178.9194,656.1,6.0,SKKS,True,Fair
20150824_094125,-30.6497,-179.0971,224.5,6.0,SKKS,True,Good
20150907_084609,-24.2427,179.1278,535.0,6.0,SKKS,True,Good
20150916_225915,-31.618,-71.745,26.7,6.4,SKKS,True,Fair
20150922_071300,-31.4441,-71.2653,58.0,6.0,SKKS,True,Good
20151020_215202,-14.8595,167.3028,135.0,7.1,SKKS,True,Good
20160614_134922,-18.7609,168.8279,111.0,6.2,SKKS,True,Good
20160720_151316,-18.9285,169.0547,167.0,6.1,SKKS,True,Good
20160725_172650,-26.1049,-70.5074,72.0,6.1,SKKS,False,Good
20161104_162043,-35.1033,-70.9964,90.79,6.4,SKKS,True,Good
20170415_081943,-23.2706,-67.7655,155.0,6.2,SKKS,True,Fair
20170509_135210,-14.5884,167.3767,169.0,6.8,SKKS,True,Good
20170617_222601,-24.0934,179.6059,511.0,6.1,SKKS,True,Good
20170926_042000,-23.7135,-176.9366,98.07,6.4,SKKS,False,Fair
20180410_101934,-30.9862,-71.5566,76.08,6.2,SKKS,True,Fair
20180713_094649,-18.9332,169.0224,169.16,6.4,SKKS,True,Good
20180819_042858,-16.9783,-178.0332,415.6,6.8,SKKS,True,Good
20180916_211148,-25.421,178.2059,576.0,6.5,SKKS,True,Fair
20181016_010343,-21.726,169.4867,10.0,6.4,SKKS,True,Fair
20181223_230843,-20.2873,-175.0923,113.0,6.4,SKKS,False,Fair
20190320_152358,-15.5965,167.6551,119.0,6.3,SKKS,True,Good
20190617_060205,-30.9381,-177.5972,16.0,6.0,SKKS,True,Good
20190621_083716,-30.8598,-177.4658,14.0,6.3,SKKS,True,Good
20190731_150233,-16.1985,167.9982,181.0,6.6,SKKS,True,Good
20190824_155127,-14.2896,167.1983,115.0,6.0,SKKS,True,Good
20190926_163618,-40.8152,-72.0019,129.0,6.1,SKKS,True,Fair
20191021_025229,-19.0184,169.4883,231.0,6.4,SKKS,True,Good
20191104_215325,-31.8362,-71.3753,53.0,6.1,SKKS,True,Good
20191108_104444,-21.9688,-179.4911,582.92,6.5,SKKS,True,Good
20191204_201003,-19.0677,169.5748,266.0,6.0,SKKS,True,Good
20200318_031345,-13.1364,167.0277,176.0,6.1,SKKS,False,Poor
20200414_010647,-30.3889,-176.3478,31.0,6.0,SKKS,True,Good
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKKS,True,Good
20200805_120536,-16.0919,168.078,178.9,6.4,SKKS,True,Good
20201001_011336,-19.5385,-174.1217,28.0,6.4,SKKS,True,Good
20201006_101146,-18.0101,-178.4762,633.92,6.0,SKKS,True,Fair
20201023_070430,-25.64,-179.9572,454.0,6.1,SKKS,True,Fair
20110819_035426,-16.5461,-176.8522,405.9,6.2,SKKS,True,Good
20120326_181253,10.0652,-104.1936,10.0,6.0,SKKS,True,Fair
20120423_173621,-28.6015,-177.3408,113.8,6.0,SKKS,True,Good
20120428_100807,-18.7293,-174.6864,132.5,6.7,SKKS,True,Good
20120703_103615,-40.06,173.66,239.0,6.3,SKKS,False,Fair
20121113_043130,-45.669,-77.0841,35.0,6.0,SKKS,False,Poor
20130413_224949,-19.103,169.6524,269.3,6.0,SKKS,True,Good
20130426_065328,-28.7301,-178.8979,355.4,6.2,SKKS,True,Good
20130812_094931,-5.4117,-81.979,12.8,6.2,SKKS,True,Fair
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,False,Good
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Good
20140317_051133,-20.06,-70.8284,5.3,6.4,SKKS,True,Good
20140403_015829,-20.3644,-70.5007,10.6,6.6,SKKS,True,Good
20140404_013751,-20.6075,-70.5337,19.3,6.2,SKKS,True,Good
20141116_223323,-37.5989,179.6109,34.5,6.7,SKKS,True,Fair
20150123_034727,-17.064,168.5545,223.9,6.8,SKKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKKS,False,Fair
20150610_135208,-22.4098,-68.4519,121.8,6.1,SKKS,False,Fair
20150928_152805,-23.8,-66.6,219.0,6.0,SKKS,True,Good
20160725_172650,-26.1049,-70.5074,72.0,6.1,SKKS,False,Fair
20160908_214620,-54.6136,158.7126,10.0,6.1,SKKS,True,Good
20170218_121017,-23.8613,-66.6592,222.0,6.3,SKKS,True,Fair
20170415_081943,-23.2706,-67.7655,155.0,6.2,SKKS,True,Good
20180410_101934,-30.9862,-71.5566,76.08,6.2,SKKS,False,Fair
20180819_042858,-16.9783,-178.0332,415.6,6.8,SKKS,True,Fair
20190120_013251,-30.071,-71.4202,54.82,6.7,SKKS,False,Fair
20190802_055055,-49.7307,-113.8331,10.0,6.0,SKKS,True,Good
20190926_163618,-40.8152,-72.0019,129.0,6.1,SKKS,True,Fair
20191104_215325,-31.8362,-71.3753,53.0,6.1,SKKS,True,Fair
20191204_201003,-19.0677,169.5748,266.0,6.0,SKKS,True,Good
20200414_010647,-30.3889,-176.3478,31.0,6.0,SKKS,True,Fair
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKKS,False,Good
20201227_213914,-39.3374,-74.9881,10.0,6.7,SKKS,True,Good
20120417_035015,-32.6374,-71.5641,29.7,6.7,SKKS,True,Fair
20120423_173621,-28.6015,-177.3408,113.8,6.0,SKKS,True,Fair
20120428_100807,-18.7293,-174.6864,132.5,6.7,SKKS,True,Good
20120607_040504,-36.0516,-70.8547,5.8,6.0,SKKS,False,Fair
20120703_103615,-40.06,173.66,239.0,6.3,SKKS,True,Fair
20120706_022822,-14.6567,167.3043,164.8,6.4,SKKS,True,Fair
20121020_230032,-13.573,166.6105,43.5,6.2,SKKS,True,Fair
20121221_222808,-14.3591,167.2778,198.1,6.7,SKKS,True,Fair
20130426_065328,-28.7301,-178.8979,355.4,6.2,SKKS,True,Good
20130511_204657,-17.9392,-175.1186,210.3,6.3,SKKS,True,Fair
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,False,Poor
20140207_084013,-15.0764,167.4164,124.6,6.5,SKKS,False,Fair
20140509_103219,-18.935,-175.5746,172.3,6.0,SKKS,True,Good
20140703_195007,-30.4601,-176.4451,35.0,6.4,SKKS,True,Fair
20140703_195010,-30.35,-176.3,49.1,6.3,SKKS,True,Fair
20140721_145441,-19.8015,-178.4001,615.4,6.9,SKKS,False,Poor
20141101_185722,-19.8023,-177.8334,435.3,7.1,SKKS,False,Good
20150530_171839,-15.7607,-173.4612,37.9,6.0,SKKS,True,Fair
20170926_042000,-23.7135,-176.9366,98.07,6.4,SKKS,True,Fair
20180819_042858,-16.9783,-178.0332,415.6,6.8,SKKS,True,Good
20190519_142712,-21.7384,169.5741,19.95,6.0,SKKS,True,Good
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Fair
20140404_013751,-20.6075,-70.5337,19.3,6.2,SKKS,True,Fair
20140703_195007,-30.4601,-176.4451,35.0,6.4,SKKS,True,Good
20140703_195010,-30.35,-176.3,49.1,6.3,SKKS,True,Fair
20140924_111613,-23.7849,-66.5888,204.5,6.2,SKKS,True,Fair
20150123_034727,-17.064,168.5545,223.9,6.8,SKKS,True,Fair
20170218_121017,-23.8613,-66.6592,222.0,6.3,SKKS,True,Good
20180114_091845,-15.7589,-74.7095,39.0,7.1,SKKS,True,Good
20180410_101934,-30.9862,-71.5566,76.08,6.2,SKKS,True,Fair
20181101_221951,-19.5882,-69.2923,102.0,6.2,SKKS,True,Fair
20190120_013251,-30.071,-71.4202,54.82,6.7,SKKS,True,Good
20190418_144601,-51.0555,139.4904,10.0,6.5,SKKS,True,Good
20190926_163618,-40.8152,-72.0019,129.0,6.1,SKKS,True,Fair
20191104_215325,-31.8362,-71.3753,53.0,6.1,SKKS,True,Good
20201214_152049,-21.8063,-68.7079,114.0,6.0,SKKS,True,Fair
20110221_105751,-26.0435,178.4765,551.8,6.5,SKKS,False,Fair
20110729_074222,-23.7284,179.8252,522.8,6.7,SKKS,True,Fair
20120124_005204,-24.8986,178.5999,579.0,6.3,SKKS,True,Good
20120130_051059,-14.2139,-75.6584,34.2,6.4,SKKS,False,Poor
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Fair
20150916_225915,-31.618,-71.745,26.7,6.4,SKKS,True,Fair
20151020_215202,-14.8595,167.3028,135.0,7.1,SKKS,True,Good
20110729_074222,-23.7284,179.8252,522.8,6.7,SKKS,True,Good
20120109_040715,-10.5892,165.3084,33.3,6.4,SKKS,True,Fair
20120124_005204,-24.8986,178.5999,579.0,6.3,SKKS,True,Good
20121221_222808,-14.3591,167.2778,198.1,6.7,SKKS,True,Fair
20140207_084013,-15.0764,167.4164,124.6,6.5,SKKS,True,Fair
20140326_032936,-26.1642,179.2589,495.6,6.4,SKKS,True,Fair
20140401_234647,-19.6193,-70.7877,17.1,8.1,SKKS,False,Good
20140708_125625,-17.6864,168.3982,110.2,6.2,SKKS,False,Poor
20140708_125630,-17.79,168.3,114.6,6.2,SKKS,False,Poor
20140708_125625,-17.6864,168.3982,110.2,6.2,SKKS,False,Poor
20160614_134922,-18.7609,168.8279,111.0,6.2,SKKS,True,Good
20150123_034727,-17.064,168.5545,223.9,6.8,SKKS,True,Good
20131117_090456,-60.3783,-46.5876,7.9,7.8,SKKS,True,Good
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,True,Good
20140326_032936,-26.1642,179.2589,495.6,6.4,SKKS,True,Fair
20130812_094931,-5.4117,-81.979,12.8,6.2,SKKS,True,Good
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,True,Fair
20140207_084013,-15.0764,167.4164,124.6,6.5,SKKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKKS,True,Fair
20151107_070431,-29.4642,-72.3015,13.0,6.2,SKKS,True,Good
20160403_082352,-14.3235,166.8551,26.0,6.9,SKKS,True,Good
20150123_034727,-17.064,168.5545,223.9,6.8,SKKS,True,Good
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKKS,False,Fair
20150919_050647,-29.6411,-72.077,6.0,6.1,SKKS,True,Good
20140207_084013,-15.0764,167.4164,124.6,6.5,SKKS,False,Good
20140326_032936,-26.1642,179.2589,495.6,6.4,SKKS,True,Good
20150123_034727,-17.064,168.5545,223.9,6.8,SKKS,False,Fair
20101228_083417,-23.4129,-179.7154,550.9,6.3,SKKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKKS,True,Good
20150202_104948,-32.6484,-67.1501,172.7,6.3,SKKS,True,Good
20130812_041647,-30.6243,-179.6421,341.4,6.2,SKKS,True,Fair
20110621_020416,-11.4834,165.4962,18.7,6.0,SKKS,True,Fair
20110729_074222,-23.7284,179.8252,522.8,6.7,SKKS,True,Good
20110901_061439,-12.4548,166.6817,52.0,6.0,SKKS,True,Fair
20120124_005204,-24.8986,178.5999,579.0,6.3,SKKS,True,Fair
20120130_051059,-14.2139,-75.6584,34.2,6.4,SKKS,True,Good
20130426_065328,-28.7301,-178.8979,355.4,6.2,SKKS,False,Good
20130523_171904,-23.0783,-177.2133,177.7,7.4,SKKS,True,Fair
20130925_164243,-15.9001,-74.6012,38.2,7.0,SKKS,True,Fair
20131123_074832,-17.1613,-176.5188,370.1,6.5,SKKS,True,Fair
20101228_083417,-23.4129,-179.7154,550.9,6.3,SKKS,True,Good
20110221_105751,-26.0435,178.4765,551.8,6.5,SKKS,True,Good
20110418_130304,-34.286,179.9433,98.1,6.5,SKKS,True,Fair
20110620_163600,-21.771,-68.3834,126.2,6.5,SKKS,True,Good
20110221_105751,-26.0435,178.4765,551.8,6.5,SKKS,True,Fair
