Event,Ev_lat,Ev_lon,Depth,Mag,Phase,Null,Quality
20110403_140708,-17.6066,-178.5336,547.2,6.4,SKKS,True,Fair
20110620_163600,-21.771,-68.3834,126.2,6.5,SKKS,True,Fair
20110729_074222,-23.7284,179.8252,522.8,6.7,SKKS,True,Good
20120109_040715,-10.5892,165.3084,33.3,6.4,SKKS,True,Fair
20120124_005204,-24.8986,178.5999,579.0,6.3,SKKS,True,Fair
20120428_100807,-18.7293,-174.6864,132.5,6.7,SKKS,False,Fair
20110824_174611,-7.6203,-74.538,149.3,7.0,SKS,True,Fair
20110830_065741,-6.3592,126.7502,467.2,6.9,SKS,False,Fair
20110903_044858,-56.5611,-26.9231,96.3,6.4,SKS,True,Fair
20110909_194133,49.3886,-127.0648,15.4,6.5,SKS,False,Fair
20111014_033515,-6.6259,147.9311,43.2,6.5,SKS,False,Good
20111122_184816,-15.3083,-65.1634,560.3,6.6,SKS,True,Fair
20111128_122647,-5.5101,153.801,43.2,6.1,SKS,False,Good
20111117_015704,-1.7479,-81.7057,19.6,6.0,SKS,False,Fair
20111122_184816,-15.3083,-65.1634,560.3,6.6,SKS,True,Good
20111122_184816,-15.3083,-65.1634,560.3,6.6,SKS,True,Fair
20180110_025131,17.4743,-83.5193,10.0,7.5,SKS,True,Good
20180906_154914,-18.4952,179.3555,617.87,7.9,SKS,True,Good
20130707_203007,-6.036,149.7262,65.9,6.6,SKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKS,True,Fair
20140411_202913,11.7198,-86.014,142.3,6.6,SKS,True,Fair
20140507_042039,-7.0145,154.9469,41.0,6.0,SKS,True,Fair
20150916_140322,-6.0114,151.4768,6.0,6.1,SKS,True,Good
20121210_165309,-6.4969,129.8684,161.5,7.1,SKS,True,Good
20131201_012415,-7.0288,128.4151,25.9,6.5,SKS,True,Good
20140113_040104,18.9922,-66.8685,30.9,6.3,SKS,True,Fair
20140218_092714,14.596,-58.9719,28.3,6.5,SKS,True,Good
20130707_183531,-4.0134,153.9277,387.1,7.3,SKS,True,Fair
20140412_201438,-11.2581,162.1387,15.3,7.6,SKS,True,Fair
20140413_123619,-11.4669,161.9601,34.2,7.4,SKS,True,Fair
20151217_194953,15.8009,-93.6294,85.0,6.6,SKS,True,Fair
20160518_075702,0.4261,-79.7899,16.0,6.7,SKS,True,Good
20170509_135210,-14.5884,167.3767,169.0,6.8,SKS,True,Good
20170713_033608,-4.7722,153.1958,34.78,6.4,SKS,True,Fair
20180308_173951,-4.3853,153.1874,22.53,6.8,SKS,True,Good
20180324_112332,-5.4959,151.4971,33.0,6.3,SKS,True,Fair
20180509_075755,-5.8916,151.7962,10.0,6.0,SKS,True,Fair
20181101_221951,-19.5882,-69.2923,102.0,6.2,SKS,True,Fair
20200721_205625,-20.8045,-178.6325,605.2,6.0,SKS,True,Good
20201103_024054,-44.4106,-79.3773,10.0,6.0,SKS,True,Good
20180211_231415,13.8205,146.4377,10.0,6.0,SKS,True,Good
20180325_201447,-6.6247,129.8138,169.0,6.4,SKS,True,Fair
20180728_170723,-7.1221,122.7474,577.48,6.0,SKS,False,Fair
20180821_213147,10.7791,-62.907,146.18,7.3,SKS,True,Good
20180828_223513,16.8044,146.8395,55.0,6.4,SKS,True,Good
20190619_172448,-2.243,138.4599,10.0,6.3,SKS,False,Fair
20190624_025339,-6.4078,129.1692,212.0,7.3,SKS,True,Fair
20190714_053923,-18.2237,120.3574,10.0,6.6,SKS,True,Fair
20180819_001940,-18.1125,-178.1536,600.0,8.2,SKS,True,Fair
20181211_022632,-58.5981,-26.4656,164.66,7.1,SKS,True,Fair
20190222_101722,-2.199,-77.0231,132.36,7.5,SKS,True,Fair
20190301_085042,-14.7016,-70.135,267.0,7.0,SKS,False,Fair
20200717_025022,-7.8386,147.7754,73.0,7.0,SKS,True,Good
20120321_221505,-6.2233,146.0083,117.7,6.6,SKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKS,True,Fair
20140510_073600,17.0579,-100.9323,23.3,6.1,SKS,True,Fair
20140629_075256,-55.4757,-28.3956,15.1,6.8,SKS,True,Fair
20140707_112354,14.724,-92.4614,53.0,6.9,SKS,True,Fair
20140824_232141,-14.52,-73.535,70.0,6.8,SKS,True,Fair
20140824_232143,-14.589,-73.45,74.4,6.8,SKS,True,Fair
20150123_034727,-17.064,168.5545,223.9,6.8,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20150501_080605,-5.1981,151.7512,63.6,6.7,SKS,True,Fair
20150610_135208,-22.4098,-68.4519,121.8,6.1,SKS,True,Fair
20150916_140322,-6.0114,151.4768,6.0,6.1,SKS,True,Fair
20121210_165309,-6.4969,129.8684,161.5,7.1,SKS,True,Fair
20130406_044236,-3.4714,138.4743,69.4,7.0,SKS,True,Good
20130416_225527,-3.2237,142.5671,16.3,6.6,SKS,True,Fair
20130514_003226,18.7672,145.2903,611.7,6.8,SKS,True,Fair
20131201_012415,-7.0288,128.4151,25.9,6.5,SKS,True,Good
20140113_040104,18.9922,-66.8685,30.9,6.3,SKS,True,Good
20111214_050457,-7.5278,146.814,128.5,7.1,SKS,True,Fair
20130707_183531,-4.0134,153.9277,387.1,7.3,SKS,True,Fair
20140413_123619,-11.4669,161.9601,34.2,7.4,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20150916_225432,-31.5729,-71.6744,22.44,8.3,SKS,True,Fair
20160518_164643,0.4947,-79.616,29.95,6.9,SKS,True,Fair
20170614_072905,14.9823,-91.9882,94.0,6.9,SKS,True,Good
20180308_173951,-4.3853,153.1874,22.53,6.8,SKS,True,Good
20180509_075755,-5.8916,151.7962,10.0,6.0,SKS,True,Fair
20181205_041436,-21.9814,169.3156,10.0,6.0,SKS,True,Good
20190201_161413,14.7628,-92.2981,67.93,6.6,SKS,True,Fair
20190217_143555,-3.3412,152.1319,368.12,6.4,SKS,True,Good
20190530_090328,13.1462,-89.3663,25.0,6.6,SKS,True,Fair
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKS,True,Fair
20200901_040928,-27.9728,-71.3031,23.0,6.8,SKS,True,Fair
20201130_225503,-24.3318,-67.0203,189.0,6.3,SKS,True,Good
20151104_034415,-8.3381,124.8754,20.0,6.5,SKS,True,Fair
20151204_222500,-47.6165,85.0913,35.0,7.1,SKS,True,Good
20171024_104747,-7.2364,123.0401,549.19,6.7,SKS,True,Fair
20180211_231415,13.8205,146.4377,10.0,6.0,SKS,True,Good
20180325_201447,-6.6247,129.8138,169.0,6.4,SKS,True,Good
20180821_213147,10.7791,-62.907,146.18,7.3,SKS,True,Fair
20180828_223513,16.8044,146.8395,55.0,6.4,SKS,True,Good
20200613_210830,18.9317,145.1116,622.0,6.2,SKS,True,Fair
20200821_040952,-6.6869,123.4829,627.76,6.9,SKS,True,Fair
20161124_184348,11.9597,-88.8355,10.34,7.0,SKS,True,Fair
20180216_233939,16.3887,-97.9789,25.98,7.2,SKS,True,Good
20180819_001940,-18.1125,-178.1536,600.0,8.2,SKS,True,Good
20180906_154914,-18.4952,179.3555,617.87,7.9,SKS,True,Good
20181211_022632,-58.5981,-26.4656,164.66,7.1,SKS,False,Fair
20200717_025022,-7.8386,147.7754,73.0,7.0,SKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKS,True,Fair
20140708_125625,-17.6864,168.3982,110.2,6.2,SKS,True,Fair
20150916_140322,-6.0114,151.4768,6.0,6.1,SKS,True,Good
20131119_170045,18.4629,145.165,531.1,6.0,SKS,True,Good
20131201_012415,-7.0288,128.4151,25.9,6.5,SKS,True,Fair
20140113_040104,18.9922,-66.8685,30.9,6.3,SKS,True,Fair
20140218_092714,14.596,-58.9719,28.3,6.5,SKS,False,Fair
20130715_140341,-61.0527,-25.2274,19.9,7.3,SKS,True,Fair
20131117_090456,-60.3783,-46.5876,7.9,7.8,SKS,True,Fair
20151217_194953,15.8009,-93.6294,85.0,6.6,SKS,True,Good
20160725_193845,-2.969,148.0345,14.0,6.4,SKS,True,Good
20170614_072905,14.9823,-91.9882,94.0,6.9,SKS,True,Good
20180308_173951,-4.3853,153.1874,22.53,6.8,SKS,True,Good
20180509_075755,-5.8916,151.7962,10.0,6.0,SKS,True,Fair
20190201_161413,14.7628,-92.2981,67.93,6.6,SKS,True,Good
20190409_175359,-58.6064,-25.2559,44.83,6.5,SKS,True,Good
20160729_211826,18.5439,145.541,207.62,7.7,SKS,True,Good
20171024_104747,-7.2364,123.0401,549.19,6.7,SKS,True,Good
20180211_231415,13.8205,146.4377,10.0,6.0,SKS,True,Good
20180325_201447,-6.6247,129.8138,169.0,6.4,SKS,False,Good
20180821_213147,10.7791,-62.907,146.18,7.3,SKS,True,Fair
20180828_223513,16.8044,146.8395,55.0,6.4,SKS,True,Fair
20190619_172448,-2.243,138.4599,10.0,6.3,SKS,True,Fair
20190624_025339,-6.4078,129.1692,212.0,7.3,SKS,True,Fair
20200506_135356,-6.7949,129.8613,107.0,6.8,SKS,False,Fair
20200821_040952,-6.6869,123.4829,627.76,6.9,SKS,False,Fair
20190301_085042,-14.7016,-70.135,267.0,7.0,SKS,False,Good
20110101_095658,-26.8513,-63.2373,584.3,7.0,SKS,True,Good
20110113_164310,-20.6703,168.4717,29.7,6.0,SKS,True,Fair
20110407_131123,17.2651,-94.1439,165.1,6.7,SKS,True,Fair
20110601_125521,-37.5547,-73.8322,10.0,6.3,SKS,True,Fair
20111014_033515,-6.6259,147.9311,43.2,6.5,SKS,False,Poor
20111027_001524,-17.9419,-179.4302,606.0,6.0,SKS,True,Fair
20111122_184816,-15.3083,-65.1634,560.3,6.6,SKS,True,Fair
20111211_095456,-56.049,-28.2135,130.6,6.3,SKS,True,Fair
20120121_184713,14.933,-93.1422,63.5,6.2,SKS,True,Fair
20120417_071349,-5.5336,147.125,208.2,6.9,SKS,True,Good
20120514_100039,-17.7968,-69.7926,108.7,6.3,SKS,False,Poor
20120528_050723,-28.021,-63.1134,591.1,6.7,SKS,True,Fair
20120607_160318,-15.9117,-72.4723,106.7,6.2,SKS,True,Good
20120728_200359,-4.654,153.1678,58.8,6.5,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20150323_045137,-18.3544,-69.1883,127.1,6.4,SKS,True,Fair
20110830_065741,-6.3592,126.7502,467.2,6.9,SKS,True,Fair
20130406_044236,-3.4714,138.4743,69.4,7.0,SKS,False,Fair
20130514_003226,18.7672,145.2903,611.7,6.8,SKS,True,Fair
20110101_095658,-26.8513,-63.2373,584.3,7.0,SKS,True,Fair
20111214_050457,-7.5278,146.814,128.5,7.1,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20170614_072905,14.9823,-91.9882,94.0,6.9,SKS,True,Fair
20170713_033608,-4.7722,153.1958,34.78,6.4,SKS,True,Fair
20190530_090328,13.1462,-89.3663,25.0,6.6,SKS,True,Fair
20171024_104747,-7.2364,123.0401,549.19,6.7,SKS,True,Good
20190619_172448,-2.243,138.4599,10.0,6.3,SKS,True,Fair
20190624_025339,-6.4078,129.1692,212.0,7.3,SKS,True,Good
20190714_053923,-18.2237,120.3574,10.0,6.6,SKS,True,Fair
20181211_022632,-58.5981,-26.4656,164.66,7.1,SKS,True,Fair
20190301_085042,-14.7016,-70.135,267.0,7.0,SKS,True,Good
20200717_025022,-7.8386,147.7754,73.0,7.0,SKS,True,Fair
20140629_075256,-55.4757,-28.3956,15.1,6.8,SKS,True,Fair
20140629_143249,-55.4186,-28.224,11.9,6.0,SKS,True,Fair
20140707_112354,14.724,-92.4614,53.0,6.9,SKS,True,Good
20140729_104613,17.81,-95.501,99.0,6.4,SKS,True,Fair
20140824_232141,-14.52,-73.535,70.0,6.8,SKS,True,Fair
20140824_232143,-14.589,-73.45,74.4,6.8,SKS,True,Fair
20140925_091352,-9.4478,156.3501,19.7,6.1,SKS,False,Poor
20150123_034727,-17.064,168.5545,223.9,6.8,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20150216_220054,-55.5186,-28.2292,18.1,6.3,SKS,True,Fair
20150323_045137,-18.3544,-69.1883,127.1,6.4,SKS,True,Good
20150501_080605,-5.1981,151.7512,63.6,6.7,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20180121_010642,-18.8524,-69.4564,116.0,6.3,SKS,True,Good
20180308_173951,-4.3853,153.1874,22.53,6.8,SKS,True,Fair
20180509_075755,-5.8916,151.7962,10.0,6.0,SKS,True,Good
20181101_221951,-19.5882,-69.2923,102.0,6.2,SKS,True,Good
20190217_143555,-3.3412,152.1319,368.12,6.4,SKS,True,Good
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKS,True,Fair
20171024_104747,-7.2364,123.0401,549.19,6.7,SKS,True,Good
20180325_201447,-6.6247,129.8138,169.0,6.4,SKS,True,Good
20180728_170723,-7.1221,122.7474,577.48,6.0,SKS,True,Fair
20180821_213147,10.7791,-62.907,146.18,7.3,SKS,True,Fair
20180828_070811,-10.8859,124.1187,14.0,6.2,SKS,True,Fair
20190619_172448,-2.243,138.4599,10.0,6.3,SKS,True,Fair
20190624_025339,-6.4078,129.1692,212.0,7.3,SKS,True,Good
20200506_135356,-6.7949,129.8613,107.0,6.8,SKS,True,Fair
20200613_210830,18.9317,145.1116,622.0,6.2,SKS,True,Fair
20200821_040952,-6.6869,123.4829,627.76,6.9,SKS,True,Good
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20150323_045137,-18.3544,-69.1883,127.1,6.4,SKS,True,Fair
20150907_084609,-24.2427,179.1278,535.0,6.0,SKS,True,Fair
20150916_140322,-6.0114,151.4768,6.0,6.1,SKS,True,Fair
20141014_035137,12.5893,-88.072,63.9,7.3,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20180110_025131,17.4743,-83.5193,10.0,7.5,SKS,True,Fair
20131016_103100,-6.4787,154.9648,58.0,6.8,SKS,True,Fair
20131113_234548,-60.3091,-47.2872,10.0,6.0,SKS,False,Poor
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKS,True,Fair
20140411_202913,11.7198,-86.014,142.3,6.6,SKS,True,Good
20140707_112354,14.724,-92.4614,53.0,6.9,SKS,True,Fair
20150916_140322,-6.0114,151.4768,6.0,6.1,SKS,True,Fair
20121012_003131,-4.8858,134.0822,34.6,6.6,SKS,True,Fair
20121210_165309,-6.4969,129.8684,161.5,7.1,SKS,True,Fair
20130406_044236,-3.4714,138.4743,69.4,7.0,SKS,True,Good
20131201_012415,-7.0288,128.4151,25.9,6.5,SKS,True,Good
20140113_040104,18.9922,-66.8685,30.9,6.3,SKS,True,Fair
20121107_163549,14.0318,-92.0669,38.7,7.4,SKS,True,Good
20140412_201438,-11.2581,162.1387,15.3,7.6,SKS,True,Good
20170614_072905,14.9823,-91.9882,94.0,6.9,SKS,True,Good
20170713_033608,-4.7722,153.1958,34.78,6.4,SKS,True,Good
20170923_125302,16.7732,-94.9509,9.62,6.1,SKS,True,Fair
20180308_173951,-4.3853,153.1874,22.53,6.8,SKS,True,Good
20180509_075755,-5.8916,151.7962,10.0,6.0,SKS,True,Fair
20160729_211826,18.5439,145.541,207.62,7.7,SKS,True,Good
20160823_193944,-7.2805,122.4255,532.4,6.0,SKS,True,Fair
20171024_104747,-7.2364,123.0401,549.19,6.7,SKS,True,Good
20180211_231415,13.8205,146.4377,10.0,6.0,SKS,True,Good
20180728_170723,-7.1221,122.7474,577.48,6.0,SKS,True,Fair
20180821_213147,10.7791,-62.907,146.18,7.3,SKS,True,Good
20180828_070811,-10.8859,124.1187,14.0,6.2,SKS,True,Fair
20161124_184348,11.9597,-88.8355,10.34,7.0,SKS,True,Good
20180906_154914,-18.4952,179.3555,617.87,7.9,SKS,True,Fair
20181211_022632,-58.5981,-26.4656,164.66,7.1,SKS,False,Fair
20190222_101722,-2.199,-77.0231,132.36,7.5,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20150323_045137,-18.3544,-69.1883,127.1,6.4,SKS,True,Good
20150330_081801,-15.4394,-172.905,15.2,6.3,SKS,True,Good
20150916_140322,-6.0114,151.4768,6.0,6.1,SKS,True,Good
20141206_220510,-6.11,130.4829,116.0,6.0,SKS,True,Fair
20150227_134505,-7.358,122.4906,559.1,7.0,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Good
20170305_224753,-5.9945,149.3619,37.0,6.3,SKS,True,Good
20170713_033608,-4.7722,153.1958,34.78,6.4,SKS,True,Fair
20180228_024545,-6.1673,142.4795,16.0,6.1,SKS,True,Good
20180308_173951,-4.3853,153.1874,22.53,6.8,SKS,True,Fair
20180509_075755,-5.8916,151.7962,10.0,6.0,SKS,True,Good
20180713_094649,-18.9332,169.0224,169.16,6.4,SKS,True,Good
20180910_041902,-31.7447,-179.3728,115.0,6.9,SKS,True,Fair
20190201_161413,14.7628,-92.2981,67.93,6.6,SKS,True,Fair
20190217_143555,-3.3412,152.1319,368.12,6.4,SKS,True,Good
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKS,True,Good
20161221_001714,-7.5082,127.9206,152.0,6.7,SKS,False,Fair
20171024_104747,-7.2364,123.0401,549.19,6.7,SKS,True,Fair
20180325_201447,-6.6247,129.8138,169.0,6.4,SKS,True,Fair
20180821_213147,10.7791,-62.907,146.18,7.3,SKS,True,Good
20180828_070811,-10.8859,124.1187,14.0,6.2,SKS,True,Fair
20190619_172448,-2.243,138.4599,10.0,6.3,SKS,True,Good
20190624_025339,-6.4078,129.1692,212.0,7.3,SKS,True,Fair
20200821_040952,-6.6869,123.4829,627.76,6.9,SKS,True,Good
20180819_001940,-18.1125,-178.1536,600.0,8.2,SKS,True,Good
20181211_022632,-58.5981,-26.4656,164.66,7.1,SKS,True,Fair
20150916_140322,-6.0114,151.4768,6.0,6.1,SKS,False,Fair
20131119_170045,18.4629,145.165,531.1,6.0,SKS,True,Fair
20131201_012415,-7.0288,128.4151,25.9,6.5,SKS,True,Good
20140515_081636,6.3995,144.9597,16.7,6.3,SKS,True,Fair
20140412_201438,-11.2581,162.1387,15.3,7.6,SKS,True,Fair
20170713_033608,-4.7722,153.1958,34.78,6.4,SKS,True,Fair
20180308_173951,-4.3853,153.1874,22.53,6.8,SKS,True,Good
20180509_075755,-5.8916,151.7962,10.0,6.0,SKS,True,Good
20180910_041902,-31.7447,-179.3728,115.0,6.9,SKS,True,Fair
20191102_180841,-55.6659,-26.2338,8.0,6.1,SKS,True,Good
20200318_031345,-13.1364,167.0277,176.0,6.1,SKS,True,Fair
20161205_011304,-7.3158,123.3802,526.0,6.3,SKS,True,Fair
20180211_231415,13.8205,146.4377,10.0,6.0,SKS,True,Good
20180324_195833,-45.7783,96.0692,10.0,6.0,SKS,True,Fair
20180325_201447,-6.6247,129.8138,169.0,6.4,SKS,True,Good
20180821_213147,10.7791,-62.907,146.18,7.3,SKS,True,Good
20180828_070811,-10.8859,124.1187,14.0,6.2,SKS,True,Fair
20190619_172448,-2.243,138.4599,10.0,6.3,SKS,True,Good
20190624_025339,-6.4078,129.1692,212.0,7.3,SKS,True,Good
20191225_033601,50.6081,-129.9656,6.38,6.3,SKS,True,Good
20180819_001940,-18.1125,-178.1536,600.0,8.2,SKS,True,Fair
20180906_154914,-18.4952,179.3555,617.87,7.9,SKS,True,Good
20181211_022632,-58.5981,-26.4656,164.66,7.1,SKS,True,Fair
20190222_101722,-2.199,-77.0231,132.36,7.5,SKS,True,Good
20190301_085042,-14.7016,-70.135,267.0,7.0,SKS,True,Fair
20200717_025022,-7.8386,147.7754,73.0,7.0,SKS,True,Fair
20150123_034727,-17.064,168.5545,223.9,6.8,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Good
20150815_074707,-10.9382,163.8328,19.2,6.4,SKS,True,Fair
20150916_140322,-6.0114,151.4768,6.0,6.1,SKS,True,Good
20150919_125220,-32.3335,-72.0629,18.0,6.2,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20151107_070431,-29.4642,-72.3015,13.0,6.2,SKS,True,Good
20151217_194953,15.8009,-93.6294,85.0,6.6,SKS,True,Good
20160420_083510,0.7079,-80.0352,10.0,6.0,SKS,True,Fair
20160720_151316,-18.9285,169.0547,167.0,6.1,SKS,True,Fair
20190519_142712,-21.7384,169.5741,19.95,6.0,SKS,True,Good
20190530_090328,13.1462,-89.3663,25.0,6.6,SKS,True,Fair
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKS,True,Good
20160729_211826,18.5439,145.541,207.62,7.7,SKS,True,Fair
20171024_104747,-7.2364,123.0401,549.19,6.7,SKS,True,Fair
20180821_213147,10.7791,-62.907,146.18,7.3,SKS,True,Fair
20190624_025339,-6.4078,129.1692,212.0,7.3,SKS,True,Fair
20200506_135356,-6.7949,129.8613,107.0,6.8,SKS,True,Good
20200821_040952,-6.6869,123.4829,627.76,6.9,SKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKS,True,Fair
20140411_202913,11.7198,-86.014,142.3,6.6,SKS,True,Fair
20140824_232141,-14.52,-73.535,70.0,6.8,SKS,True,Fair
20140824_232143,-14.589,-73.45,74.4,6.8,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20130406_044236,-3.4714,138.4743,69.4,7.0,SKS,False,Good
20130416_225527,-3.2237,142.5671,16.3,6.6,SKS,True,Good
20140113_040104,18.9922,-66.8685,30.9,6.3,SKS,True,Fair
20140218_092714,14.596,-58.9719,28.3,6.5,SKS,True,Fair
20131117_090456,-60.3783,-46.5876,7.9,7.8,SKS,True,Fair
20141014_035137,12.5893,-88.072,63.9,7.3,SKS,True,Good
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,False,Fair
20190222_101722,-2.199,-77.0231,132.36,7.5,SKS,True,Fair
20200717_025022,-7.8386,147.7754,73.0,7.0,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20150310_205544,6.7968,-73.0377,162.0,6.2,SKS,True,Fair
20150323_045137,-18.3544,-69.1883,127.1,6.4,SKS,True,Good
20141206_220510,-6.11,130.4829,116.0,6.0,SKS,True,Good
20141014_035137,12.5893,-88.072,63.9,7.3,SKS,True,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,True,Fair
20170713_033608,-4.7722,153.1958,34.78,6.4,SKS,True,Fair
20180121_010642,-18.8524,-69.4564,116.0,6.3,SKS,True,Fair
20180308_173951,-4.3853,153.1874,22.53,6.8,SKS,True,Fair
20190201_161413,14.7628,-92.2981,67.93,6.6,SKS,True,Good
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKS,False,Fair
20160729_211826,18.5439,145.541,207.62,7.7,SKS,False,Fair
20160823_193944,-7.2805,122.4255,532.4,6.0,SKS,False,Good
20180211_231415,13.8205,146.4377,10.0,6.0,SKS,False,Fair
20180828_070811,-10.8859,124.1187,14.0,6.2,SKS,True,Fair
20180828_223513,16.8044,146.8395,55.0,6.4,SKS,True,Good
20190122_051003,-10.4663,119.0309,27.01,6.4,SKS,True,Fair
20200506_135356,-6.7949,129.8613,107.0,6.8,SKS,True,Fair
20200821_040952,-6.6869,123.4829,627.76,6.9,SKS,False,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,False,Fair
20160528_094659,-56.2409,-26.9353,78.0,7.2,SKS,True,Good
20161124_184348,11.9597,-88.8355,10.34,7.0,SKS,True,Good
20180819_001940,-18.1125,-178.1536,600.0,8.2,SKS,True,Good
20181211_022632,-58.5981,-26.4656,164.66,7.1,SKS,False,Fair
20190222_101722,-2.199,-77.0231,132.36,7.5,SKS,True,Fair
20190301_085042,-14.7016,-70.135,267.0,7.0,SKS,False,Fair
20200717_025022,-7.8386,147.7754,73.0,7.0,SKS,True,Fair
20130209_141606,1.0345,-77.462,144.2,7.0,SKS,True,Fair
20140316_211628,-19.9051,-70.6156,9.4,6.7,SKS,True,Fair
20140403_015829,-20.3644,-70.5007,10.6,6.6,SKS,True,Fair
20140629_075256,-55.4757,-28.3956,15.1,6.8,SKS,True,Good
20140707_112354,14.724,-92.4614,53.0,6.9,SKS,True,Good
20140729_104613,17.81,-95.501,99.0,6.4,SKS,True,Fair
20140824_232141,-14.52,-73.535,70.0,6.8,SKS,False,Fair
20140824_232143,-14.589,-73.45,74.4,6.8,SKS,False,Fair
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,False,Fair
20150310_205544,6.7968,-73.0377,162.0,6.2,SKS,True,Fair
20150323_045137,-18.3544,-69.1883,127.1,6.4,SKS,False,Fair
20150916_140322,-6.0114,151.4768,6.0,6.1,SKS,True,Fair
20121210_165309,-6.4969,129.8684,161.5,7.1,SKS,True,Good
20130406_044236,-3.4714,138.4743,69.4,7.0,SKS,True,Fair
20140113_040104,18.9922,-66.8685,30.9,6.3,SKS,True,Good
20140218_092714,14.596,-58.9719,28.3,6.5,SKS,True,Fair
20140806_114528,-7.13,127.92,19.5,6.2,SKS,True,Fair
20130209_141606,1.0345,-77.462,144.2,7.0,SKS,True,Fair
20131117_090456,-60.3783,-46.5876,7.9,7.8,SKS,True,Fair
20141014_035137,12.5893,-88.072,63.9,7.3,SKS,True,Good
20150211_185720,-23.0653,-66.6621,203.6,6.7,SKS,False,Fair
20151217_194953,15.8009,-93.6294,85.0,6.6,SKS,True,Fair
20170614_072905,14.9823,-91.9882,94.0,6.9,SKS,True,Fair
20170622_123104,13.7527,-90.9488,46.82,6.8,SKS,True,Good
20170827_041751,-1.4513,148.0803,8.0,6.3,SKS,True,Fair
20171127_071111,-4.5778,153.2342,52.0,6.0,SKS,True,Fair
20180308_173951,-4.3853,153.1874,22.53,6.8,SKS,True,Fair
20180930_105224,-18.3465,-178.0788,564.13,6.7,SKS,True,Good
20190201_161413,14.7628,-92.2981,67.93,6.6,SKS,True,Good
20190530_090328,13.1462,-89.3663,25.0,6.6,SKS,True,Fair
20200603_073534,-23.2955,-68.4217,96.84,6.8,SKS,False,Fair
20151204_222500,-47.6165,85.0913,35.0,7.1,SKS,True,Fair
20160729_211826,18.5439,145.541,207.62,7.7,SKS,True,Fair
20180211_231415,13.8205,146.4377,10.0,6.0,SKS,False,Fair
20180325_201447,-6.6247,129.8138,169.0,6.4,SKS,True,Fair
20180821_213147,10.7791,-62.907,146.18,7.3,SKS,True,Fair
20190624_025339,-6.4078,129.1692,212.0,7.3,SKS,True,Fair
20200821_040952,-6.6869,123.4829,627.76,6.9,SKS,True,Fair
20160804_141513,-22.3087,-66.0261,270.0,6.2,SKS,False,Good
20161124_184348,11.9597,-88.8355,10.34,7.0,SKS,True,Fair
20120121_184713,14.933,-93.1422,63.5,6.2,SKS,True,Fair
20120417_071349,-5.5336,147.125,208.2,6.9,SKS,False,Fair
20120514_100039,-17.7968,-69.7926,108.7,6.3,SKS,False,Good
20120528_050723,-28.021,-63.1134,591.1,6.7,SKS,True,Fair
20120604_004516,5.2944,-82.6322,15.0,6.3,SKS,True,Fair
20120607_160318,-15.9117,-72.4723,106.7,6.2,SKS,True,Fair
20120706_022822,-14.6567,167.3043,164.8,6.4,SKS,False,Fair
20120725_112027,-9.669,159.8561,23.7,6.5,SKS,True,Good
20120728_200359,-4.654,153.1678,58.8,6.5,SKS,True,Fair
20120802_093831,-8.454,-74.2726,148.8,6.0,SKS,True,Fair
20121111_221459,14.0705,-92.3318,18.6,6.4,SKS,True,Fair
20121119_094435,-5.7528,151.6402,22.9,6.0,SKS,False,Fair
