Station,Event,plon,plat,phi,dt
GNI,20160725_172650,44.61,40.14,35.84,0.8
GNI,20200603_073534,44.61,40.14,34.43,0.8
GNI,20120703_103615,44.86,40.12,70.94,0.7
GNI,20180410_101934,44.61,40.13,48.16,0.7
GNI,20150610_135208,44.61,40.14,57.31,0.6
GNI,20150211_185720,44.61,40.14,25.59,0.5
GNI,20190120_013251,44.61,40.13,32.11,0.3
GNI,20190301_085042,44.67,40.15,72.58,1.9
GNI,20180907_021204,44.67,40.17,51.49,1.8
GNI,20201006_101146,44.79,40.16,-57.1,1.4
GNI,20110824_174611,44.67,40.16,41.85,1.3
GNI,20120802_093831,44.67,40.16,54.95,1.1
GNI,20181211_022632,44.7,40.1,72.04,1.1
GNI,20200603_073534,44.67,40.14,63.0,1.0
GNI,20160804_141513,44.67,40.14,54.93,0.8
GNI,20200531_050938,44.67,40.15,57.0,0.8
GNI,20180121_010642,44.67,40.15,64.33,0.8
GNI,20170415_081943,44.67,40.14,50.06,0.8
GNI,20160804_141513,44.67,40.14,45.93,0.8
GNI,20150610_135208,44.67,40.14,51.0,0.7
GNI,20190503_072529,44.82,40.16,39.35,0.7
GNI,20141206_220510,44.86,40.14,39.23,0.7
GNI,20140218_092714,44.63,40.18,58.0,0.6
GNI,20150211_185720,44.67,40.14,32.0,0.5
GNI,20120607_160318,44.67,40.15,37.07,0.5
GNI,20110306_123158,44.67,40.15,62.0,0.4
ALAV,20190926_163618,44.63,41.09,34.51,1.9
ALAV,20180728_170723,44.88,41.1,55.12,1.4
ALAV,20190619_172448,44.87,41.12,29.1,0.5
ARZA,20190301_085042,44.52,40.5,63.74,1.4
BAUR,20180410_101934,43.67,41.1,26.49,1.6
BAUR,20181211_022632,43.76,41.07,-83.01,1.4
BAUR,20200506_135356,43.92,41.1,59.54,1.4
BAUR,20180325_201447,43.92,41.1,48.44,1.2
BAUR,20140218_092714,43.69,41.15,66.41,0.9
BAUR,20200821_040952,43.93,41.1,65.67,0.9
BYUR,20190301_085042,44.2,40.33,48.43,1.3
BYUR,20130406_044236,44.38,40.33,-24.0,0.9
MAGY,20161221_001714,44.52,41.02,49.74,1.1
MAGY,20181211_022632,44.36,40.99,-86.82,0.9
NAVR,20150916_140322,45.44,40.87,54.0,0.5
SHEN,20150211_185720,44.05,40.79,27.71,1.3
TSAP,20130406_044236,45.59,40.4,-46.0,0.8
TSAP,20150211_185720,45.41,40.4,30.0,0.6
VAND,20201206_164742,43.68,40.1,23.12,1.3
VAND,20200821_040952,43.94,40.09,71.62,1.3
VAND,20200603_073534,43.75,40.1,20.92,1.2
VAND,20160823_193944,43.94,40.09,70.76,0.9
ZARN,20190301_085042,43.71,40.49,29.0,2.5
ZARN,20140824_232141,43.71,40.49,43.0,2.1
ZARN,20140824_232143,43.71,40.49,43.0,2.1
ZARN,20200603_073534,43.72,40.48,31.0,1.9
ZARN,20150211_185720,43.71,40.48,27.28,1.3
ZARN,20181211_022632,43.74,40.43,53.0,1.1
ZARN,20150323_045137,43.71,40.48,42.0,1.1
ZARN,20150211_185720,43.71,40.48,32.28,1.0
ZARN,20150211_185720,43.71,40.48,32.28,1.0
BCA,20120607_040504,41.49,41.41,46.61,1.9
BCA,20120908_105145,41.74,41.44,67.96,2.4
BCA,20130901_115232,41.74,41.43,75.71,2.1
BCA,20140311_220312,41.72,41.46,51.84,1.8
BCA,20150928_152805,41.55,41.44,47.78,1.7
BCA,20170827_041751,41.72,41.46,56.87,1.7
BCA,20120514_100039,41.55,41.45,52.26,1.6
BCA,20131201_012415,41.74,41.43,72.22,1.6
BCA,20140412_201438,41.69,41.46,46.56,1.4
BCA,20130717_023743,41.55,41.45,51.46,1.2
BCA,20151023_040418,41.62,41.35,33.12,1.1
BCA,20120607_160318,41.55,41.45,64.74,0.8
BCA,20130722_070141,41.61,41.35,51.71,0.6
TASB,20140629_075256,44.19,39.93,-72.72,1.9
TASB,20120514_100039,44.17,39.98,66.18,1.2
TASB,20181115_200222,44.19,39.93,83.16,1.1
TASB,20140315_235132,44.17,40.0,45.98,1.0
TASB,20140924_111613,44.17,39.98,36.0,0.8
TASB,20180907_021204,44.17,40.0,50.08,0.8
TASB,20150216_220054,44.19,39.93,88.19,0.6
TASB,20120728_200359,44.33,39.99,-40.95,0.5
TASB,20160212_100224,44.37,39.95,49.78,0.5
AKH,20161104_162043,43.37,41.38,11.65,2.0
AKH,20140316_211628,43.35,41.41,30.11,1.7
AKH,20160725_172650,43.36,41.4,45.05,1.5
AKH,20161120_205743,43.36,41.39,47.31,1.5
AKH,20170415_081943,43.35,41.4,38.13,1.5
AKH,20121114_190205,43.36,41.39,23.39,1.1
AKH,20120423_173621,43.61,41.42,55.76,0.9
AKH,20140323_182001,43.42,41.41,26.0,2.1
AKH,20140413_123619,43.57,41.42,49.29,1.4
AKH,20140316_211628,43.42,41.41,38.11,1.3
AKH,20140824_232141,43.42,41.42,47.0,1.3
AKH,20120514_100039,43.42,41.41,46.49,1.2
AKH,20140322_125957,43.42,41.41,41.0,1.2
AKH,20140824_232143,43.42,41.42,56.0,1.2
AKH,20160725_172650,43.43,41.4,29.05,1.2
AKH,20130704_171557,43.58,41.42,43.0,1.1
AKH,20140403_015829,43.42,41.41,46.61,1.1
AKH,20160804_141513,43.42,41.4,35.94,1.0
AKH,20130717_023743,43.42,41.41,56.73,1.0
AKH,20130717_023743,43.42,41.41,55.73,1.0
AKH,20160804_141513,43.42,41.4,38.94,1.0
AKH,20120417_071349,43.59,41.42,31.94,0.7
AKH,20121119_094435,43.58,41.42,58.0,0.7
ONI,20151107_070431,43.32,42.58,46.5,1.7
ONI,20140316_211628,43.31,42.59,23.79,1.5
ONI,20140924_111613,43.38,42.59,59.0,1.7
ONI,20150928_152805,43.38,42.59,50.56,1.7
ONI,20150211_185720,43.38,42.59,53.28,1.5
ONI,20150211_185720,43.38,42.59,53.28,1.5
ONI,20160804_141513,43.38,42.59,38.56,1.4
ONI,20150323_045137,43.38,42.59,56.21,1.3
ONI,20160804_141513,43.38,42.59,40.56,1.3
ONI,20160823_193944,43.58,42.57,78.66,1.3
ONI,20140316_211628,43.38,42.59,59.79,1.2
ONI,20160725_172650,43.39,42.59,33.83,1.1
ONI,20150610_135208,43.38,42.59,58.05,1.0
ONI,20140824_232141,43.38,42.6,44.0,0.9
ONI,20140824_232143,43.38,42.6,45.0,0.9
ONI,20151121_090613,43.57,42.58,62.47,0.9
TBLG,20130130_201543,44.6,41.72,57.2,1.6
TBLG,20120725_112027,44.82,41.74,28.0,1.6
TBLG,20120514_100039,44.67,41.73,40.52,1.5
TBLG,20140323_182001,44.67,41.73,26.44,1.4
TBLG,20130717_023743,44.67,41.74,22.79,1.3
TBLG,20120205_001540,44.8,41.74,17.0,1.1
TBLG,20120607_160318,44.67,41.74,65.0,1.0
TBLG,20130717_023743,44.67,41.74,37.0,0.8
TBLG,20140316_211628,44.67,41.73,46.0,0.8
ABST,20120305_074609,42.74,41.74,14.0,2.0
ABST,20110306_123158,42.74,41.76,29.66,1.7
ABST,20130222_120158,42.74,41.74,34.75,1.5
AMBR,20120528_050723,43.07,42.5,32.24,1.6
AMBR,20120514_100039,43.06,42.52,25.86,1.5
AMBR,20111122_184816,43.06,42.52,35.82,1.4
AMBR,20110902_134710,43.07,42.5,25.89,1.3
AMBR,20110109_100343,43.2,42.52,51.0,0.9
AZMN,20140401_234647,43.15,41.32,44.3,1.4
BATM,20140412_201438,41.76,41.62,42.0,2.5
DDFL,20140824_232141,46.05,41.45,54.0,1.1
DDFL,20140824_232143,46.05,41.45,53.0,1.1
DDFL,20141206_220510,46.24,41.43,67.14,0.9
DMNI,20150211_185720,44.05,41.32,20.02,1.2
DMNI,20160212_100224,44.32,41.3,46.0,1.8
DMNI,20150227_134505,44.32,41.31,60.1,1.2
DMNI,20150211_185720,44.12,41.32,44.02,1.1
DMNI,20150211_185720,44.12,41.32,42.02,1.0
TKBL,20110620_163600,42.92,42.35,30.15,1.6
TKBL,20110830_065741,43.12,42.34,64.73,1.2
TKBL,20110824_174611,42.92,42.36,66.0,0.9
TKBL,20110824_174611,42.92,42.36,60.66,0.9
TKBL,20111028_185434,42.92,42.36,71.0,0.6
TRLT,20111122_184816,44.02,41.54,25.0,1.2
TRLT,20111114_040512,44.24,41.53,30.36,1.0
URAV,20110620_163600,43.22,42.64,43.0,0.8
GANJ,20110830_065741,46.45,40.63,-24.09,0.8
GANJ,20111014_033515,46.43,40.66,-44.67,0.8
GANJ,20111128_122647,46.42,40.66,-53.48,0.8
QZX,20111117_015704,45.3,41.07,66.23,0.7
KIV,20160725_172650,42.55,43.95,38.27,0.8
KIV,20120130_051059,42.55,43.98,53.7,0.6
KIV,20190926_163618,42.56,43.93,18.12,0.3
KIV,20120607_040504,42.63,43.95,19.0,2.2
KIV,20110902_134710,42.62,43.95,15.44,1.5
KIV,20140924_111613,42.62,43.95,34.87,1.0
KIV,20181001_235942,42.82,43.93,71.03,0.9
KIV,20110306_123158,42.61,43.96,58.0,0.7
KIV,20140823_223223,42.63,43.95,47.15,0.7
KIV,20160804_141513,42.61,43.96,51.81,0.6
