Station,Event,plon,plat,phi,dt
AKH,20140316_211628,43.16,41.41,38.11,1.3
AKH,20140824_232141,43.16,41.44,47.0,1.3
AKH,20120514_100039,43.15,41.42,46.49,1.2
AKH,20140322_125957,43.16,41.41,41.0,1.2
AKH,20140824_232143,43.16,41.44,56.0,1.2
AKH,20160725_172650,43.19,41.38,29.05,1.2
AKH,20130704_171557,43.88,41.46,43.0,1.1
AKH,20140403_015829,43.16,41.41,46.61,1.1
AKH,20160804_141513,43.15,41.39,35.94,1.0
AKH,20130717_023743,43.15,41.43,56.73,1.0
AKH,20130717_023743,43.15,41.43,55.73,1.0
AKH,20160804_141513,43.15,41.39,38.94,1.0
AKH,20120417_071349,43.94,41.44,31.94,0.7
AKH,20121119_094435,43.91,41.45,58.0,0.7
ONI,20151107_070431,42.82,42.53,46.5,1.7
ONI,20140316_211628,42.79,42.59,23.79,1.5
ONI,20140924_111613,43.11,42.57,59.0,1.7
ONI,20150928_152805,43.11,42.57,50.56,1.7
ONI,20150211_185720,43.11,42.57,53.28,1.5
ONI,20150211_185720,43.11,42.57,53.28,1.5
ONI,20160804_141513,43.11,42.57,38.56,1.4
ONI,20150323_045137,43.1,42.59,56.21,1.3
ONI,20160804_141513,43.11,42.57,40.56,1.3
ONI,20160823_193944,44.05,42.49,78.66,1.3
ONI,20140316_211628,43.11,42.59,59.79,1.2
ONI,20160725_172650,43.14,42.57,33.83,1.1
ONI,20150610_135208,43.12,42.58,58.05,1.0
ONI,20140824_232141,43.11,42.62,44.0,0.9
ONI,20140824_232143,43.11,42.62,45.0,0.9
ONI,20151121_090613,44.01,42.53,62.47,0.9
TBLG,20130130_201543,44.11,41.67,57.2,1.6
TBLG,20120725_112027,45.1,41.78,28.0,1.6
TBLG,20120514_100039,44.4,41.74,40.52,1.5
TBLG,20140323_182001,44.41,41.74,26.44,1.4
TBLG,20130717_023743,44.4,41.75,22.79,1.3
TBLG,20120205_001540,45.03,41.76,17.0,1.1
TBLG,20120607_160318,44.41,41.76,65.0,1.0
TBLG,20130717_023743,44.4,41.75,37.0,0.8
TBLG,20140316_211628,44.41,41.73,46.0,0.8
ABST,20120305_074609,42.49,41.7,14.0,2.0
ABST,20110306_123158,42.47,41.76,29.66,1.7
ABST,20130222_120158,42.49,41.7,34.75,1.5
AMBR,20120528_050723,42.81,42.46,32.24,1.6
AMBR,20120514_100039,42.79,42.52,25.86,1.5
AMBR,20111122_184816,42.76,42.52,35.82,1.4
AMBR,20110902_134710,42.81,42.46,25.89,1.3
AMBR,20110109_100343,43.42,42.55,51.0,0.9
AZMN,20140401_234647,42.63,41.32,44.3,1.4
BATM,20140412_201438,42.02,41.66,42.0,2.5
DDFL,20140824_232141,45.8,41.48,54.0,1.1
DDFL,20140824_232143,45.8,41.48,53.0,1.1
DDFL,20141206_220510,46.69,41.38,67.14,0.9
DMNI,20150211_185720,43.54,41.28,20.02,1.2
DMNI,20160212_100224,44.79,41.19,46.0,1.8
DMNI,20150227_134505,44.78,41.22,60.1,1.2
DMNI,20150211_185720,43.86,41.31,44.02,1.1
DMNI,20150211_185720,43.86,41.31,42.02,1.0
TKBL,20110620_163600,42.65,42.34,30.15,1.6
TKBL,20110830_065741,43.57,42.28,64.73,1.2
TKBL,20110824_174611,42.63,42.41,66.0,0.9
TKBL,20110824_174611,42.63,42.41,60.66,0.9
TKBL,20111028_185434,42.66,42.39,71.0,0.6
TRLT,20111122_184816,43.73,41.54,25.0,1.2
TRLT,20111114_040512,44.74,41.49,30.36,1.0
URAV,20110620_163600,42.95,42.63,43.0,0.8
GANJ,20110830_065741,46.91,40.56,-24.09,0.8
GANJ,20111014_033515,46.78,40.67,-44.67,0.8
GANJ,20111128_122647,46.75,40.69,-53.48,0.8
QZX,20111117_015704,45.06,41.16,66.23,0.7
KIV,20160725_172650,42.02,43.92,38.27,0.8
KIV,20120130_051059,42.01,44.04,53.7,0.6
KIV,20190926_163618,42.1,43.8,18.12,0.3
KIV,20120607_040504,42.41,43.91,19.0,2.2
KIV,20110902_134710,42.35,43.91,15.44,1.5
KIV,20140924_111613,42.34,43.94,34.87,1.0
KIV,20181001_235942,43.29,43.83,71.03,0.9
KIV,20110306_123158,42.33,43.97,58.0,0.7
KIV,20140823_223223,42.4,43.92,47.15,0.7
KIV,20160804_141513,42.33,43.94,51.81,0.6
