Station,Event,plon,plat,phi,dt
GNI,20160725_172650,44.12,40.09,35.84,0.8
GNI,20200603_073534,44.11,40.11,34.43,0.8
GNI,20120703_103615,45.28,40.02,70.94,0.7
GNI,20180410_101934,44.14,40.06,48.16,0.7
GNI,20150610_135208,44.1,40.11,57.31,0.6
GNI,20150211_185720,44.1,40.1,25.59,0.5
GNI,20190120_013251,44.13,40.06,32.11,0.3
GNI,20190301_085042,44.4,40.17,72.58,1.9
GNI,20180907_021204,44.41,40.25,51.49,1.8
GNI,20201006_101146,44.96,40.2,-57.1,1.4
GNI,20110824_174611,44.4,40.21,41.85,1.3
GNI,20120802_093831,44.4,40.21,54.95,1.1
GNI,20181211_022632,44.55,39.92,72.04,1.1
GNI,20200603_073534,44.43,40.13,63.0,1.0
GNI,20160804_141513,44.41,40.12,54.93,0.8
GNI,20200531_050938,44.41,40.17,57.0,0.8
GNI,20180121_010642,44.41,40.15,64.33,0.8
GNI,20170415_081943,44.42,40.13,50.06,0.8
GNI,20160804_141513,44.41,40.12,45.93,0.8
GNI,20150610_135208,44.42,40.13,51.0,0.7
GNI,20190503_072529,45.1,40.2,39.35,0.7
GNI,20141206_220510,45.3,40.09,39.23,0.7
GNI,20140218_092714,44.21,40.29,58.0,0.6
GNI,20150211_185720,44.42,40.12,32.0,0.5
GNI,20120607_160318,44.42,40.17,37.07,0.5
GNI,20110306_123158,44.41,40.15,62.0,0.4
ALAV,20190926_163618,44.19,40.95,34.51,1.9
ALAV,20180728_170723,45.35,41.01,55.12,1.4
ALAV,20190619_172448,45.29,41.13,29.1,0.5
ARZA,20190301_085042,44.25,40.52,63.74,1.4
BAUR,20180410_101934,43.19,41.03,26.49,1.6
BAUR,20181211_022632,43.61,40.88,-83.01,1.4
BAUR,20200506_135356,44.36,41.06,59.54,1.4
BAUR,20180325_201447,44.36,41.06,48.44,1.2
BAUR,20140218_092714,43.25,41.26,66.41,0.9
BAUR,20200821_040952,44.39,41.02,65.67,0.9
BYUR,20190301_085042,43.93,40.35,48.43,1.3
BYUR,20130406_044236,44.79,40.33,-24.0,0.9
MAGY,20161221_001714,44.97,40.96,49.74,1.1
MAGY,20181211_022632,44.2,40.81,-86.82,0.9
NAVR,20150916_140322,45.78,40.9,54.0,0.5
SHEN,20150211_185720,43.55,40.75,27.71,1.3
TSAP,20130406_044236,46.01,40.39,-46.0,0.8
TSAP,20150211_185720,45.16,40.38,30.0,0.6
VAND,20201206_164742,43.17,40.09,23.12,1.3
VAND,20200821_040952,44.39,40.01,71.62,1.3
VAND,20200603_073534,43.49,40.08,20.92,1.2
VAND,20160823_193944,44.4,40.0,70.76,0.9
ZARN,20190301_085042,43.44,40.5,29.0,2.5
ZARN,20140824_232141,43.45,40.51,43.0,2.1
ZARN,20140824_232143,43.45,40.51,43.0,2.1
ZARN,20200603_073534,43.46,40.46,31.0,1.9
ZARN,20150211_185720,43.46,40.46,27.28,1.3
ZARN,20181211_022632,43.59,40.25,53.0,1.1
ZARN,20150323_045137,43.45,40.48,42.0,1.1
ZARN,20150211_185720,43.46,40.46,32.28,1.0
ZARN,20150211_185720,43.46,40.46,32.28,1.0
BCA,20120607_040504,41.03,41.3,46.61,1.9
BCA,20120908_105145,42.16,41.44,67.96,2.4
BCA,20130901_115232,42.17,41.39,75.71,2.1
BCA,20140311_220312,42.06,41.5,51.84,1.8
BCA,20150928_152805,41.28,41.41,47.78,1.7
BCA,20170827_041751,42.07,41.5,56.87,1.7
BCA,20120514_100039,41.27,41.44,52.26,1.6
BCA,20131201_012415,42.18,41.39,72.22,1.6
BCA,20140412_201438,41.95,41.5,46.56,1.4
BCA,20130717_023743,41.27,41.46,51.46,1.2
BCA,20151023_040418,41.59,40.99,33.12,1.1
BCA,20120607_160318,41.28,41.46,64.74,0.8
BCA,20130722_070141,41.57,40.99,51.71,0.6
TASB,20140629_075256,44.02,39.75,-72.72,1.9
TASB,20120514_100039,43.91,39.99,66.18,1.2
TASB,20181115_200222,44.03,39.75,83.16,1.1
TASB,20140315_235132,43.93,40.07,45.98,1.0
TASB,20140924_111613,43.92,39.95,36.0,0.8
TASB,20180907_021204,43.91,40.08,50.08,0.8
TASB,20150216_220054,44.02,39.75,88.19,0.6
TASB,20120728_200359,44.65,40.03,-40.95,0.5
TASB,20160212_100224,44.84,39.84,49.78,0.5
AKH,20161104_162043,42.89,41.28,11.65,2.0
AKH,20140316_211628,42.84,41.41,30.11,1.7
AKH,20160725_172650,42.86,41.36,45.05,1.5
AKH,20161120_205743,42.88,41.3,47.31,1.5
AKH,20170415_081943,42.84,41.36,38.13,1.5
AKH,20121114_190205,42.87,41.34,23.39,1.1
AKH,20120423_173621,44.05,41.47,55.76,0.9
AKH,20140323_182001,43.16,41.41,26.0,2.1
AKH,20140413_123619,43.83,41.46,49.29,1.4
