Station,Event,plon,plat,phi,dt
GNI,20160725_172650,44.54,40.13,35.84,0.8
GNI,20200603_073534,44.54,40.14,34.43,0.8
GNI,20120703_103615,44.91,40.11,70.94,0.7
GNI,20180410_101934,44.55,40.12,48.16,0.7
GNI,20150610_135208,44.54,40.14,57.31,0.6
GNI,20150211_185720,44.54,40.13,25.59,0.5
GNI,20190120_013251,44.55,40.12,32.11,0.3
GNI,20190301_085042,44.63,40.15,72.58,1.9
GNI,20180907_021204,44.64,40.18,51.49,1.8
GNI,20201006_101146,44.81,40.17,-57.1,1.4
GNI,20110824_174611,44.63,40.17,41.85,1.3
GNI,20120802_093831,44.63,40.17,54.95,1.1
GNI,20181211_022632,44.68,40.07,72.04,1.1
GNI,20200603_073534,44.64,40.14,63.0,1.0
GNI,20160804_141513,44.64,40.14,54.93,0.8
GNI,20200531_050938,44.64,40.15,57.0,0.8
GNI,20180121_010642,44.64,40.15,64.33,0.8
GNI,20170415_081943,44.64,40.14,50.06,0.8
GNI,20160804_141513,44.64,40.14,45.93,0.8
GNI,20150610_135208,44.64,40.14,51.0,0.7
GNI,20190503_072529,44.86,40.17,39.35,0.7
GNI,20141206_220510,44.92,40.13,39.23,0.7
GNI,20140218_092714,44.57,40.19,58.0,0.6
GNI,20150211_185720,44.64,40.14,32.0,0.5
GNI,20120607_160318,44.64,40.15,37.07,0.5
GNI,20110306_123158,44.64,40.15,62.0,0.4
ALAV,20190926_163618,44.58,41.07,34.51,1.9
ALAV,20180728_170723,44.94,41.09,55.12,1.4
ALAV,20190619_172448,44.92,41.12,29.1,0.5
ARZA,20190301_085042,44.48,40.5,63.74,1.4
BAUR,20180410_101934,43.61,41.09,26.49,1.6
BAUR,20181211_022632,43.74,41.04,-83.01,1.4
BAUR,20200506_135356,43.98,41.1,59.54,1.4
BAUR,20180325_201447,43.98,41.1,48.44,1.2
BAUR,20140218_092714,43.63,41.16,66.41,0.9
BAUR,20200821_040952,43.99,41.09,65.67,0.9
BYUR,20190301_085042,44.16,40.34,48.43,1.3
BYUR,20130406_044236,44.43,40.33,-24.0,0.9
MAGY,20161221_001714,44.58,41.01,49.74,1.1
MAGY,20181211_022632,44.34,40.96,-86.82,0.9
NAVR,20150916_140322,45.49,40.88,54.0,0.5
SHEN,20150211_185720,43.99,40.78,27.71,1.3
TSAP,20130406_044236,45.65,40.4,-46.0,0.8
TSAP,20150211_185720,45.38,40.39,30.0,0.6
VAND,20201206_164742,43.61,40.1,23.12,1.3
VAND,20200821_040952,44.0,40.08,71.62,1.3
VAND,20200603_073534,43.71,40.1,20.92,1.2
VAND,20160823_193944,44.0,40.08,70.76,0.9
ZARN,20190301_085042,43.68,40.49,29.0,2.5
