Station,Event,plon,plat,phi,dt
GNI,20160725_172650,44.58,40.13,35.84,0.8
GNI,20200603_073534,44.57,40.14,34.43,0.8
GNI,20120703_103615,44.88,40.11,70.94,0.7
GNI,20180410_101934,44.58,40.12,48.16,0.7
GNI,20150610_135208,44.57,40.14,57.31,0.6
GNI,20150211_185720,44.57,40.14,25.59,0.5
GNI,20190120_013251,44.58,40.13,32.11,0.3
GNI,20190301_085042,44.65,40.15,72.58,1.9
GNI,20180907_021204,44.65,40.17,51.49,1.8
GNI,20201006_101146,44.8,40.16,-57.1,1.4
GNI,20110824_174611,44.65,40.16,41.85,1.3
GNI,20120802_093831,44.65,40.16,54.95,1.1
GNI,20181211_022632,44.69,40.09,72.04,1.1
GNI,20200603_073534,44.66,40.14,63.0,1.0
GNI,20160804_141513,44.65,40.14,54.93,0.8
GNI,20200531_050938,44.65,40.15,57.0,0.8
GNI,20180121_010642,44.65,40.15,64.33,0.8
GNI,20170415_081943,44.66,40.14,50.06,0.8
GNI,20160804_141513,44.65,40.14,45.93,0.8
GNI,20150610_135208,44.66,40.14,51.0,0.7
GNI,20190503_072529,44.84,40.16,39.35,0.7
GNI,20141206_220510,44.89,40.13,39.23,0.7
GNI,20140218_092714,44.6,40.19,58.0,0.6
GNI,20150211_185720,44.66,40.14,32.0,0.5
GNI,20120607_160318,44.66,40.15,37.07,0.5
GNI,20110306_123158,44.65,40.15,62.0,0.4
ALAV,20190926_163618,44.61,41.08,34.51,1.9
ALAV,20180728_170723,44.91,41.09,55.12,1.4
ALAV,20190619_172448,44.9,41.12,29.1,0.5
ARZA,20190301_085042,44.5,40.5,63.74,1.4
BAUR,20180410_101934,43.64,41.09,26.49,1.6
BAUR,20181211_022632,43.75,41.05,-83.01,1.4
BAUR,20200506_135356,43.95,41.1,59.54,1.4
BAUR,20180325_201447,43.95,41.1,48.44,1.2
BAUR,20140218_092714,43.66,41.15,66.41,0.9
BAUR,20200821_040952,43.96,41.09,65.67,0.9
BYUR,20190301_085042,44.18,40.33,48.43,1.3
BYUR,20130406_044236,44.41,40.33,-24.0,0.9
MAGY,20161221_001714,44.55,41.02,49.74,1.1
MAGY,20181211_022632,44.35,40.97,-86.82,0.9
NAVR,20150916_140322,45.46,40.88,54.0,0.5
SHEN,20150211_185720,44.02,40.78,27.71,1.3
TSAP,20130406_044236,45.62,40.4,-46.0,0.8
TSAP,20150211_185720,45.4,40.39,30.0,0.6
VAND,20201206_164742,43.64,40.1,23.12,1.3
VAND,20200821_040952,43.97,40.08,71.62,1.3
VAND,20200603_073534,43.73,40.1,20.92,1.2
VAND,20160823_193944,43.97,40.08,70.76,0.9
ZARN,20190301_085042,43.69,40.49,29.0,2.5
ZARN,20140824_232141,43.7,40.49,43.0,2.1
ZARN,20140824_232143,43.7,40.49,43.0,2.1
ZARN,20200603_073534,43.7,40.48,31.0,1.9
ZARN,20150211_185720,43.7,40.48,27.28,1.3
ZARN,20181211_022632,43.73,40.42,53.0,1.1
ZARN,20150323_045137,43.69,40.48,42.0,1.1
ZARN,20150211_185720,43.7,40.48,32.28,1.0
ZARN,20150211_185720,43.7,40.48,32.28,1.0
BCA,20120607_040504,41.46,41.41,46.61,1.9
BCA,20120908_105145,41.76,41.44,67.96,2.4
BCA,20130901_115232,41.77,41.43,75.71,2.1
BCA,20140311_220312,41.74,41.46,51.84,1.8
BCA,20150928_152805,41.53,41.44,47.78,1.7
BCA,20170827_041751,41.74,41.46,56.87,1.7
BCA,20120514_100039,41.53,41.45,52.26,1.6
BCA,20131201_012415,41.77,41.43,72.22,1.6
BCA,20140412_201438,41.71,41.46,46.56,1.4
BCA,20130717_023743,41.53,41.45,51.46,1.2
