deg. mm/yr mm/yr mm/yr mm/yr mm/yr mm/yr
27.217 39.897 -19.62 -8.40 0.61 0.60 0.017
27.224 35.493 -12.00 -30.43 0.43 0.41 0.033
27.231 31.346 -2.53 4.44 0.88 0.77 0.003
27.269 39.577 -20.77 -6.40 0.95 0.94 0.043
27.301 40.381 -18.24 -5.55 0.89 0.89 0.049
27.308 38.711 -17.44 -14.74 0.77 0.72 0.004
27.316 39.024 -20.63 -13.31 0.76 0.71 0.013
27.393 40.811 -3.53 -4.76 0.71 0.68 -0.010
27.394 36.681 -11.85 -29.90 0.64 0.60 -0.031
27.423 37.032 -15.96 -26.08 0.67 0.58 -0.048
27.424 39.785 -22.95 -8.51 0.73 0.72 0.022
27.442 42.666 0.93 -0.45 1.26 1.22 -0.010
27.483 42.484 -1.71 -0.88 1.35 1.30 -0.003
27.486 37.818 -19.66 -18.98 0.91 0.87 -0.018
27.586 40.588 -15.04 -5.80 1.14 1.06 0.008
27.590 39.295 -16.75 -12.25 1.64 1.66 -0.011
27.629 40.245 -20.01 -5.48 0.92 0.93 0.054
27.687 -25.890 1.86 4.43 0.33 0.32 -0.009
27.707 -25.887 1.86 4.43 0.33 0.32 -0.009
27.708 -25.887 1.86 4.43 0.33 0.32 -0.009
27.763 40.059 -22.89 -2.94 0.94 0.94 0.045
27.779 41.827 0.91 -0.09 0.73 0.69 -0.018
27.781 35.952 -8.21 -28.82 0.44 0.42 0.037
27.816 40.400 -20.96 -3.23 0.69 0.68 0.014
27.836 37.196 -17.58 -24.98 0.63 0.58 -0.055
27.873 39.006 -21.02 -10.31 0.68 0.66 0.014
27.906 39.722 -21.20 -4.53 0.71 0.63 0.003
27.960 40.971 2.72 -0.59 0.65 0.62 -0.001
27.963 36.772 -14.23 -25.98 0.59 0.53 -0.036
28.000 38.248 -20.62 -12.62 0.93 0.87 -0.009
28.081 37.609 -20.77 -20.94 0.63 0.54 -0.051
28.293 41.475 1.27 -0.67 1.16 1.05 -0.007
28.311 -15.426 -0.02 5.24 0.90 0.90 0.002
28.365 41.052 -1.60 0.79 1.15 1.06 -0.005
28.373 40.398 -19.18 -1.24 1.23 1.06 -0.013
28.427 37.175 -18.12 -20.77 0.74 0.69 -0.047
28.483 38.315 -22.61 -13.18 0.96 0.89 0.004
28.671 39.046 -21.14 -6.39 0.71 0.67 -0.004
28.779 40.167 -20.40 -2.55 0.93 0.93 0.056
28.826 36.762 -15.74 -20.01 0.98 0.79 -0.013
28.882 40.481 -18.20 4.92 1.99 1.68 -0.014
28.923 39.930 -23.43 -0.54 0.96 0.95 0.057
29.020 41.104 -2.02 0.06 0.68 0.68 -0.012
29.048 37.566 -21.27 -15.37 1.02 0.97 -0.052
29.064 41.064 -2.42 0.94 0.61 0.58 0.000
29.102 40.136 -23.43 -3.04 0.71 0.70 -0.001
29.106 40.270 -20.83 0.44 0.92 0.92 0.043
29.111 40.165 -21.26 -0.75 0.93 0.93 0.056
29.136 37.941 -21.80 -7.82 0.67 0.63 -0.008
29.141 40.122 -19.44 -2.33 0.79 0.76 -0.006
29.143 40.639 -15.62 1.09 0.71 0.69 0.003
29.146 40.460 -20.09 1.83 0.92 0.92 0.043
29.261 40.200 -21.11 -1.34 0.93 0.93 0.051
29.288 40.485 -15.40 1.47 1.81 1.55 0.006
29.392 37.448 -21.04 -11.21 0.99 0.89 -0.060
29.423 40.821 -8.85 0.83 0.68 0.68 0.031
29.439 36.720 -15.12 -11.57 0.68 0.62 -0.047
29.451 40.787 -7.50 -3.98 1.40 1.37 0.003
29.514 40.164 -21.41 -0.19 0.97 0.95 0.053
29.535 37.185 -19.25 -13.31 0.83 0.81 -0.022
29.585 40.667 -13.09 1.95 0.94 0.93 0.045
29.623 41.179 -0.85 -0.58 1.25 1.11 -0.022
29.635 40.803 -6.06 1.23 0.94 0.92 0.041
29.648 36.194 -10.02 -8.76 0.71 0.54 -0.057
29.681 40.362 -19.88 0.62 0.65 0.57 0.009
29.810 36.971 -20.18 -8.55 0.82 0.81 -0.021
29.889 40.066 -20.72 -6.54 1.95 1.80 -0.016
29.908 40.438 -17.69 -1.75 0.59 0.59 0.003
29.929 40.425 -17.69 -1.74 0.59 0.59 0.003
30.026 40.465 -16.76 -1.68 0.66 0.61 -0.008
30.130 40.745 -8.47 -0.65 0.89 0.92 0.003
30.134 40.690 -12.94 0.02 0.79 0.81 0.010
30.297 37.689 -19.20 -8.63 0.56 0.51 -0.030
30.497 50.364 -0.40 0.01 0.55 0.55 0.000
30.609 36.829 -12.19 -8.16 0.63 0.58 -0.038
30.637 39.658 -24.01 -1.74 0.97 0.90 0.015
30.638 40.614 -13.58 -1.21 0.57 0.58 0.012
30.644 38.769 -21.23 -2.55 0.84 0.74 0.018
30.655 40.628 -13.53 -1.27 0.57 0.58 0.012
30.679 40.552 -17.01 -0.63 0.67 0.70 0.026
30.680 40.538 -17.01 -0.63 0.67 0.70 0.026
30.738 -0.601 1.78 3.92 0.77 0.77 0.001
30.745 40.652 -11.17 1.11 0.99 1.01 0.079
30.761 40.589 -13.06 -1.14 0.78 0.79 0.000
30.804 40.386 -19.55 -1.84 0.63 0.63 0.040
30.827 40.735 -7.95 -0.52 0.73 0.74 0.014
30.862 40.555 -17.20 -0.15 0.96 0.97 0.041
30.888 29.514 -2.61 5.46 0.82 0.78 -0.001
31.121 37.762 -16.55 -4.95 0.92 0.74 -0.103
31.344 29.862 -2.24 5.54 0.54 0.51 -0.009
31.344 29.862 -2.24 5.54 0.54 0.51 -0.009
31.438 40.937 -3.39 0.13 0.55 0.53 0.004
31.439 40.937 -3.39 0.13 0.55 0.53 0.004
31.814 39.564 -20.43 -2.31 0.79 0.68 0.018
32.078 -28.796 1.87 4.41 0.71 0.71 0.001
32.160 36.431 -11.13 -0.38 0.63 0.59 -0.061
32.226 41.520 0.49 -0.96 0.87 0.86 -0.012
32.566 29.379 -1.50 6.95 0.59 0.58 0.006
32.570 40.881 -6.47 0.27 0.75 0.69 -0.006
32.759 39.886 -21.39 -1.49 0.55 0.54 -0.006
32.759 39.886 -21.39 -1.49 0.55 0.54 -0.006
33.102 29.141 -1.09 6.75 0.69 0.65 0.006
33.191 37.378 -13.63 2.53 0.60 0.59 0.005
33.228 28.163 -2.01 7.14 0.66 0.65 0.005
33.391 27.919 -1.92 7.22 0.65 0.64 0.002
33.396 35.141 -6.24 3.11 0.53 0.53 0.000
33.404 28.631 -2.93 4.98 0.65 0.64 0.004
33.494 27.686 -1.69 5.07 0.65 0.64 0.000
33.596 28.269 -3.18 6.29 0.58 0.57 0.004
33.832 27.244 -3.36 5.82 0.82 0.77 -0.003
33.883 27.961 -4.61 8.74 1.01 1.01 -0.008
33.991 44.413 0.02 1.06 0.66 0.66 0.001
33.995 28.639 -0.87 6.38 1.03 1.04 -0.011
34.184 27.846 -3.40 7.25 0.58 0.57 0.001
34.256 36.566 -11.59 4.94 0.69 0.69 0.000
34.314 28.178 -2.17 8.06 0.87 0.80 -0.003
34.470 28.529 -3.05 7.42 0.63 0.63 0.001
34.552 36.900 -12.20 4.37 1.08 0.96 0.029
34.763 30.598 0.47 8.64 0.55 0.55 0.000
34.781 32.068 -1.73 7.46 0.51 0.51 -0.001
34.803 39.106 -19.36 3.89 1.50 1.49 -0.025
34.813 39.801 -18.84 5.38 0.66 0.64 0.005
34.866 31.378 -2.97 7.70 0.74 0.74 0.000
34.875 40.453 -17.60 4.78 0.94 0.91 -0.016
34.921 29.509 -0.45 8.86 0.53 0.53 0.000
35.023 32.779 -3.53 8.57 0.49 0.49 0.000
35.089 31.723 -1.61 7.28 1.18 1.12 -0.012
35.145 33.023 -3.78 8.18 0.57 0.57 0.000
35.202 31.771 -2.86 8.59 0.95 0.93 0.005
35.205 42.020 -0.56 1.72 0.87 0.77 0.007
35.392 31.593 -2.32 8.90 0.64 0.63 0.001
35.416 32.479 -3.58 9.66 0.57 0.57 0.000
35.674 34.115 -6.87 8.39 0.95 0.95 0.000
35.688 32.995 -1.68 11.97 0.52 0.52 -0.002
35.771 33.182 -2.68 11.26 0.66 0.66 0.000
35.870 36.397 -5.41 9.51 1.70 1.62 -0.001
35.940 36.456 -9.60 9.71 1.04 1.00 0.003
36.100 29.139 1.57 12.55 0.87 0.85 0.001
36.131 36.050 -5.12 10.20 0.65 0.63 -0.015
36.137 36.899 -11.11 9.59 0.50 0.50 -0.012
36.180 36.540 -9.89 12.17 1.73 1.75 -0.033
36.245 38.231 -13.82 8.39 1.59 1.44 -0.016
36.285 33.510 -2.27 11.90 0.95 0.95 -0.001
36.330 37.572 -14.11 8.91 1.66 1.60 -0.031
36.336 41.299 0.29 2.77 0.98 0.99 0.049
36.378 26.458 3.24 14.09 1.77 1.77 -0.002
36.465 36.531 -7.41 11.86 0.90 0.82 0.007
36.524 36.788 -7.80 10.13 0.67 0.67 -0.004
36.570 55.115 1.51 -0.04 1.20 1.18 -0.005
36.643 37.088 -7.45 10.98 0.76 0.72 -0.016
36.758 55.699 0.59 -1.10 0.45 0.45 -0.005
36.759 55.699 0.59 -1.10 0.45 0.45 -0.005
36.972 37.190 -8.18 11.63 0.49 0.50 -0.009
36.996 37.522 -9.38 10.60 0.55 0.57 -0.020
37.106 36.685 -7.95 10.53 1.77 1.74 -0.060
37.113 37.747 -11.97 8.31 0.69 0.68 -0.011
37.220 38.179 -13.24 9.37 0.66 0.67 -0.017
37.224 56.027 0.32 0.80 0.58 0.57 0.001
37.436 37.518 -7.40 11.49 0.68 0.70 -0.014
37.574 36.901 -6.73 13.70 0.56 0.53 -0.012
37.869 38.050 -13.34 9.73 0.68 0.67 -0.014
37.886 37.541 -7.10 12.58 0.74 0.73 -0.011
37.902 37.237 -6.82 13.61 0.68 0.68 -0.021
37.958 39.454 -17.03 10.01 0.44 0.43 0.001
38.049 44.552 -0.16 -1.02 1.50 1.32 -0.024
38.215 38.456 -11.48 10.92 0.74 0.72 -0.012
