31	45	138
33	45	128
35	45	112
37	45	114
39	45	109
41	45	106
43	45	108
45	45	123
47	45	162
49	45	180
51	45	180
53	45	172
55	45	157
57	45	157
59	45	145
61	45	107
31	43	87
33	43	87
35	43	110
37	43	87
39	43	87
41	43	58
43	43	54
45	43	57
47	43	104
49	43	162
51	43	164
53	43	160
55	43	154
57	43	140
59	43	111
61	43	111
31	41	49
33	41	86
35	41	91
37	41	49
39	41	49
41	41	48
43	41	47
45	41	46
47	41	101
49	41	138
51	41	157
53	41	156
55	41	157
57	41	138
59	41	116
61	41	112
31	39	47
33	39	91
35	39	47
37	39	48
39	39	49
41	39	48
43	39	47
45	39	91
47	39	87
49	39	134
51	39	141
53	39	161
55	39	140
57	39	107
59	39	109
61	39	118
31	37	87
33	37	79
35	37	49
37	37	52
39	37	57
41	37	56
43	37	50
45	37	47
47	37	157
49	37	163
51	37	161
53	37	104
55	37	103
57	37	57
59	37	80
61	37	107
31	35	130
33	35	104
35	35	54
37	35	59
39	35	73
41	35	84
43	35	80
45	35	100
47	35	182
49	35	184
51	35	161
53	35	87
55	35	49
57	35	50
59	35	52
61	35	57
31	33	110
33	33	76
35	33	55
37	33	55
39	33	58
41	33	76
43	33	105
45	33	135
47	33	186
49	33	187
51	33	159
53	33	157
55	33	87
57	33	48
59	33	49
61	33	52
31	31	87
33	31	76
35	31	54
37	31	53
39	31	53
41	31	57
43	31	133
45	31	159
47	31	158
49	31	160
51	31	178
53	31	182
55	31	167
57	31	87
59	31	49
61	31	51
31	29	61
33	29	55
35	29	54
37	29	52
39	29	51
41	29	53
43	29	105
45	29	135
47	29	145
49	29	151
51	29	158
53	29	182
55	29	168
57	29	101
59	29	50
61	29	51
31	27	56
33	27	50
35	27	50
37	27	49
39	27	50
41	27	50
43	27	51
45	27	110
47	27	131
49	27	136
51	27	145
53	27	157
55	27	134
57	27	156
59	27	51
61	27	53
31	25	57
33	25	50
35	25	49
37	25	49
39	25	49
41	25	50
43	25	50
45	25	102
47	25	111
49	25	130
51	25	139
53	25	160
55	25	131
57	25	101
59	25	52
61	25	58
31	23	57
33	23	51
35	23	49
37	23	49
39	23	49
41	23	50
43	23	50
45	23	51
47	23	111
49	23	132
51	23	141
53	23	168
55	23	136
57	23	101
59	23	57
61	23	77
31	21	54
33	21	51
35	21	49
37	21	49
39	21	48
41	21	49
43	21	51
45	21	51
47	21	110
49	21	158
51	21	163
53	21	169
55	21	157
57	21	102
59	21	75
61	21	92
31	19	51
33	19	50
35	19	50
37	19	49
39	19	48
41	19	49
43	19	50
45	19	52
47	19	103
49	19	135
51	19	133
53	19	136
55	19	110
57	19	104
59	19	79
61	19	96
31	17	51
33	17	50
35	17	50
37	17	50
39	17	48
41	17	48
43	17	49
45	17	50
47	17	50
49	17	49
51	17	49
53	17	50
55	17	51
57	17	54
59	17	76
61	17	87
31	15	51
33	15	50
35	15	50
37	15	50
39	15	49
41	15	48
43	15	48
45	15	48
47	15	49
49	15	50
51	15	50
53	15	50
55	15	50
57	15	52
59	15	74
61	15	99
