station,event,baz
TBLG,20121114_190205,262.360713268
TBLG,20130812_094931,292.40325907
TBLG,20140202_092636,89.2791140041
TBLG,20140316_211628,271.142361588
TBLG,20140323_182001,271.442664483
TBLG,20120314_211310,83.0281431933
TBLG,20120321_221505,86.9890571197
TBLG,20120728_200359,80.8654583635
TBLG,20120802_093831,283.8111585
TBLG,20121009_123208,139.476331925
TBLG,20121110_145750,284.032856037
TBLG,20121119_094435,82.7790738268
TBLG,20130325_230212,313.540865779
TBLG,20130423_231443,80.9130648088
TBLG,20130615_173429,308.887907315
TBLG,20130704_171557,80.9032373795
TBLG,20130812_094931,292.40325907
TBLG,20130925_164243,277.629473586
TBLG,20140315_235132,291.330463628
TBLG,20140317_051133,271.141157161
TBLG,20140420_001559,81.2116263415
TBLG,20140707_112354,315.329696293
TBLG,20140413_123619,80.0357484399
TRLG,20130130_201543,262.678470119
TRLG,20140323_182001,270.895841202
TRLG,20140824_232141,277.51839696
TRLG,20121119_094435,82.3947692418
TRLG,20121129_111025,84.7749770264
TRLG,20130209_141606,293.105214641
TRLG,20130222_120158,258.370161052
TRLG,20140315_235132,290.70783081
TRLG,20140316_211628,270.597067088
TRLG,20140629_075256,216.646290519
TRLG,20140707_112354,314.726101966
TRLG,20140721_145441,71.7368370438
TRLG,20140729_104613,319.101748517
TRLG,20140824_232141,277.51839696
TRLG,20140824_232143,277.396111413
TRLG,20130209_141606,293.105214641
TRLG,20141014_035137,309.693002291
GANJ,20110824_174611,285.362723706
GANJ,20110903_044858,215.733302787
GANJ,20111122_184816,272.101981733
QZX,20111122_184816,271.655287319
ZKT,20111122_184816,272.791049531
BCA,20120417_035015,256.761410104
BCA,20120423_173621,80.1466141851
BCA,20120703_103615,103.970037626
BCA,20130426_065328,81.6391060557
BCA,20140703_195007,82.295965228
BCA,20140703_195010,81.9985246893
BCA,20190519_142712,81.9529061404
BCA,20120725_112027,77.9225160274
BCA,20120728_200359,78.7538680631
BCA,20130208_111213,74.2268886178
BCA,20130319_032902,211.251043833
BCA,20130325_230212,310.847463863
BCA,20130812_094931,289.710853098
BCA,20140316_211628,268.90360513
BCA,20140317_051133,268.900729336
BCA,20140411_202913,305.379561951
BCA,20140629_075256,215.651817696
BCA,20140729_104613,316.95526964
BCA,20140729_132740,82.2757733816
BCA,20140729_132747,82.2468311136
BCA,20150916_140322,81.0110984757
BCA,20151217_194953,314.212853337
BCA,20170630_222945,292.513550071
BCA,20170713_033608,78.82599389
BCA,20171010_063220,269.515453156
BCA,20180121_010642,269.097729041
BCA,20180126_224757,82.9766720227
BCA,20180308_173951,78.530890618
BCA,20180324_112332,80.5932934628
BCA,20180407_054839,87.0032608591
BCA,20190126_035138,78.360164947
BCA,20190201_161413,312.471187775
BCA,20190409_175359,211.819199625
BCA,20190512_192450,300.764146981
BCA,20151020_215202,76.8035062026
BCA,20181211_022632,212.276007463
BCA,20190222_101722,288.371381032
BCA,20190301_085042,273.192915277
BCA,20130406_044236,87.9083543175
BCA,20130812_005344,96.3830581769
BCA,20140218_092714,287.97500978
BCA,20151121_090613,96.3108574188
BCA,20180226_133453,95.1562830958
BCA,20180324_195833,144.710162276
BCA,20180325_201447,95.9995126777
BCA,20180828_070811,102.921937141
BCA,20181216_094237,87.0773910136
BCA,20190121_235922,105.795720193
BCA,20190122_051003,105.987076178
BCA,20190406_215501,99.3337638731
TASB,20140316_211628,269.735324333
TASB,20140404_013751,269.009763959
TASB,20140703_195007,86.5229636359
TASB,20140703_195010,86.2449257636
TASB,20140924_111613,263.528744221
TASB,20170218_121017,263.496476518
TASB,20180114_091845,276.387166924
TASB,20180410_101934,258.85359981
TASB,20181101_221951,269.191030607
TASB,20190120_013251,259.794974497
TASB,20190418_144601,131.635617999
TASB,20190926_163618,247.324197681
TASB,20191104_215325,257.806842741
TASB,20201214_152049,266.715098076
TASB,20111122_184816,270.415433476
TASB,20120121_184713,315.123117128
TASB,20140316_211628,269.735324333
TASB,20140411_202913,307.085710067
TASB,20140707_112354,314.409751698
TASB,20150310_205544,293.604799743
TASB,20150323_045137,270.276200161
TASB,20150928_152805,263.52077377
TASB,20160725_172650,263.511487468
TASB,20170218_121017,263.496476518
TASB,20170512_104126,311.22778518
TASB,20180228_024545,89.2960720109
TASB,20181101_221951,269.191030607
TASB,20190201_161413,314.29307291
TASB,20200726_005359,210.57024123
TASB,20201206_164742,268.313296341
TASB,20201214_152049,266.715098076
TASB,20111214_050457,87.5619893217
TASB,20180110_025131,308.862807818
TASB,20181211_022632,212.853731133
TASB,20190222_101722,289.756181748
TASB,20120908_105145,91.7590497964
TASB,20130406_044236,89.7858934005
TASB,20131012_021028,289.094305174
TASB,20140113_040104,298.048626037
TASB,20140218_092714,289.690591879
TASB,20161221_001714,99.6354030019
TASB,20171024_104747,102.590634906
TASB,20180325_201447,97.748321765
TASB,20180828_070811,104.637421265
TASB,20190406_215501,101.012701168
TASB,20200926_171022,188.345644267
