station,event,baz
ZARN,20141014_035137,309.124111304
ZARN,20151217_194953,315.806304461
ZARN,20170614_072905,313.913115886
ZARN,20170622_123104,312.276397895
ZARN,20180308_173951,80.3604484994
ZARN,20180930_105224,70.6130695595
ZARN,20190201_161413,314.045060981
ZARN,20190530_090328,310.560115088
ZARN,20151204_222500,153.34280505
ZARN,20180325_201447,97.4461781204
ZARN,20180821_213147,289.197788608
ZARN,20190624_025339,97.699368839
ZARN,20200821_040952,101.619962558
NAVR,20180114_091845,277.733760881
NAVR,20180819_001940,71.4693834629
NAVR,20181211_022632,213.467800195
NAVR,20131201_012415,99.6790745575
NAVR,20140412_201438,80.6209234103
NAVR,20170713_033608,81.620039444
NAVR,20180308_173951,81.3239864991
NAVR,20180509_075755,83.4530436147
NAVR,20180910_041902,90.0064037268
NAVR,20191102_180841,215.951435839
NAVR,20200318_031345,78.6843578669
NAVR,20180325_201447,98.4602726145
NAVR,20180821_213147,290.297902996
NAVR,20180828_070811,105.375964598
NAVR,20190619_172448,89.5083576429
NAVR,20190624_025339,98.7194149254
BYUR,20150211_185720,264.484938219
BYUR,20170415_081943,264.955469262
BYUR,20110101_095658,258.850699189
BYUR,20110113_164310,84.5156974829
BYUR,20110407_131123,317.476156724
BYUR,20110601_125521,252.487523573
BYUR,20111027_001524,71.9932870672
BYUR,20111122_184816,270.593932431
BYUR,20111211_095456,215.816823263
BYUR,20120121_184713,315.248897315
BYUR,20120417_071349,85.7189556064
BYUR,20120528_050723,257.644839217
BYUR,20120607_160318,274.931187205
BYUR,20120728_200359,80.9666281326
BYUR,20150211_185720,264.484938219
BYUR,20150323_045137,270.49217708
BYUR,20110830_065741,99.5468683844
BYUR,20111214_050457,87.4931686183
BYUR,20150211_185720,264.484938219
BYUR,20170614_072905,314.285188113
BYUR,20170713_033608,81.0407942124
BYUR,20190530_090328,310.9237602
BYUR,20171024_104747,102.633358914
BYUR,20190624_025339,98.0148887114
BYUR,20190714_053923,112.55003846
GERK,20150211_185720,264.966399757
GERK,20180114_091845,277.190429303
GERK,20200603_073534,265.812722187
GERK,20181211_022632,213.233908757
GERK,20190301_085042,274.97868797
GERK,20200717_025022,87.6967764718
GERK,20140629_075256,216.690704942
GERK,20140707_112354,315.265006503
GERK,20140729_104613,319.690379625
GERK,20140824_232141,277.503069923
GERK,20140824_232143,277.380130769
GERK,20150211_185720,264.966399757
GERK,20150216_220054,216.591080823
GERK,20150323_045137,271.016072252
GERK,20150501_080605,82.9683137396
GERK,20150211_185720,264.966399757
GERK,20180121_010642,270.726712377
GERK,20180308_173951,81.3555498384
GERK,20180509_075755,83.4866055406
GERK,20181101_221951,269.928469829
GERK,20190217_143555,81.2540767657
GERK,20200603_073534,265.812722187
GERK,20171024_104747,103.199687322
GERK,20180325_201447,98.3234359267
GERK,20180728_170723,103.307332917
GERK,20180828_070811,105.223306683
GERK,20190619_172448,89.4108670071
GERK,20190624_025339,98.5757217221
GERK,20200506_135356,98.4217900416
GERK,20200821_040952,102.495790574
KECH,20150211_185720,265.010941392
KECH,20150921_053934,258.883703944
KECH,20150211_185720,265.010941392
KECH,20150323_045137,271.093895451
KECH,20150907_084609,82.3383202413
KECH,20150916_140322,84.2786657196
KECH,20141014_035137,310.494149505
KECH,20150211_185720,265.010941392
VAND,20140924_111613,263.349879035
VAND,20170218_121017,263.318077471
VAND,20200603_073534,264.917584392
VAND,20200717_025022,86.8703782888
VAND,20150211_185720,264.082436645
VAND,20150310_205544,293.326925646
VAND,20150323_045137,270.072011956
VAND,20141206_220510,96.6518668451
VAND,20141014_035137,309.03834533
VAND,20150211_185720,264.082436645
VAND,20170713_033608,80.7986570143
VAND,20180121_010642,269.783778325
VAND,20180308_173951,80.4977305492
VAND,20190201_161413,313.964715908
VAND,20180828_070811,104.364392068
VAND,20200506_135356,97.5726022934
MAGY,20150211_185720,264.977652651
MAGY,20170218_121017,264.218369577
MAGY,20180114_091845,277.158144119
MAGY,20200603_073534,265.848288035
MAGY,20161124_184348,310.046667771
MAGY,20180906_154914,73.0979596619
MAGY,20190222_101722,290.338494274
MAGY,20150211_185720,264.977652651
MAGY,20150323_045137,270.978602586
MAGY,20150330_081801,62.3362191486
MAGY,20150916_140322,83.066952939
MAGY,20141206_220510,97.0123596498
MAGY,20150227_134505,103.222265755
MAGY,20150211_185720,264.977652651
MAGY,20170305_224753,84.4921597001
MAGY,20170713_033608,80.9129737998
MAGY,20180228_024545,89.2120457506
MAGY,20180308_173951,80.6172429271
MAGY,20180509_075755,82.7542148669
MAGY,20180910_041902,89.1459412157
MAGY,20190201_161413,314.728755009
MAGY,20190217_143555,80.5395428129
MAGY,20200603_073534,265.848288035
MAGY,20171024_104747,102.765148936
MAGY,20180325_201447,97.8367853684
MAGY,20180821_213147,289.665853223
MAGY,20180828_070811,104.752766695
MAGY,20190619_172448,88.8723169888
MAGY,20190624_025339,98.0966337005
MAGY,20200821_040952,102.062285792
SHEN,20180410_101934,259.457309038
SHEN,20200603_073534,265.570284473
SHEN,20180819_001940,70.4732839475
SHEN,20180906_154914,73.1459664119
SHEN,20190222_101722,290.072717454
SHEN,20190301_085042,274.621154857
SHEN,20200717_025022,86.9273370747
SHEN,20150211_185720,264.709081411
SHEN,20150815_074707,78.3002735484
SHEN,20150916_140322,82.9951630441
SHEN,20150919_125220,258.219217281
SHEN,20151107_070431,261.543719095
SHEN,20151217_194953,316.241343728
SHEN,20160720_151316,81.8746591142
SHEN,20190519_142712,84.4141846422
SHEN,20190530_090328,310.993551529
SHEN,20200603_073534,265.570284473
SHEN,20180821_213147,289.500778683
SHEN,20190624_025339,97.9604962776
SHEN,20200506_135356,97.8007161969
SHEN,20200821_040952,101.907363
KIV,20110418_130304,88.1445173036
KIV,20121114_190205,262.790998599
KIV,20140316_211628,271.074760783
KIV,20140323_182001,271.369900055
KIV,20141116_223323,93.7349663448
KIV,20150211_185720,265.563444617
KIV,20150610_135208,267.348454429
KIV,20150916_225915,260.476111248
KIV,20150922_071300,260.371871769
KIV,20161104_162043,256.263098379
KIV,20170415_081943,266.111260206
KIV,20191104_215325,260.023575889
KIV,20200603_073534,266.526139132
KIV,20160528_094659,215.523901508
KIV,20160804_141513,265.813507395
KIV,20161124_184348,309.419292803
KIV,20180819_001940,65.8406810029
KIV,20180906_154914,68.6890447285
KIV,20181211_022632,213.341616342
KIV,20190222_101722,290.189409065
KIV,20190301_085042,275.180956488
KIV,20110207_195342,78.9355197718
KIV,20110306_143236,215.438494137
KIV,20110306_143242,215.277996344
KIV,20110407_131123,316.961074797
KIV,20110423_041655,76.9621921874
KIV,20110620_163600,267.87475164
KIV,20110903_044858,215.250099977
KIV,20111122_184816,271.139852682
KIV,20120121_184713,314.827780144
KIV,20120130_051059,279.702591346
KIV,20120214_081957,77.0170997613
KIV,20120514_100039,272.329815954
KIV,20120604_004516,299.989489833
KIV,20120607_160318,275.87489259
KIV,20120725_112027,77.4907739857
KIV,20120802_093831,283.307413073
KIV,20140315_235132,290.78276867
KIV,20140316_211628,271.074760783
KIV,20140317_051133,271.086770948
KIV,20140403_015829,270.586512294
KIV,20140404_013751,270.39275411
KIV,20140411_202913,306.904802884
KIV,20140504_091552,75.8389071832
KIV,20140504_092515,77.9792872081
KIV,20140629_075256,216.768188426
KIV,20140707_112354,314.123660465
KIV,20140729_104613,318.415261593
KIV,20140824_232141,277.838668242
KIV,20140824_232143,277.717171025
KIV,20150211_185720,265.563444617
KIV,20150310_205544,293.392400674
KIV,20150323_045137,271.424066636
KIV,20150422_225716,74.1960998671
KIV,20150520_003052,64.38154342
KIV,20150520_224854,75.1086528645
KIV,20150610_135208,267.348454429
KIV,20150815_074707,75.3922020038
KIV,20101215_112930,97.7625840141
KIV,20110830_065741,98.5275549746
KIV,20121012_003131,92.396153422
KIV,20121210_165309,96.4681614276
KIV,20140218_092714,288.612289415
KIV,20140806_114522,98.291294043
KIV,20140806_114528,98.26854171
KIV,20141206_220510,95.7656508006
KIV,20150924_155327,91.2858759967
KIV,20160419_052539,216.074644244
KIV,20160520_181404,110.564123792
KIV,20160725_172650,265.273410967
KIV,20160821_034523,218.305011248
KIV,20170218_121017,264.845424161
KIV,20170221_140904,266.993963945
KIV,20170224_172844,72.0902496946
KIV,20170415_081943,266.111260206
KIV,20170418_171147,66.0333726227
KIV,20170512_104126,311.021797709
KIV,20170614_072905,313.862334688
KIV,20170923_125302,317.393173423
KIV,20180121_010642,271.182770005
KIV,20180907_021204,291.588842479
