   24.0000    44.0000 176.89  13.40 1.28 0.09         20
   24.0000    45.0000   4.10   9.37 1.33 0.12         17
   24.0000    46.0000  13.36   7.55 1.26 0.25          5
   24.0000    47.0000  26.50  27.90 0.92 0.03          3
   24.0000    48.0000  17.39  18.41 1.07 0.07         12
   24.0000    49.0000  13.62  14.61 1.30 0.07         20
   24.0000    50.0000 178.45  12.38 1.10 0.04         76
   24.0000    51.0000 179.02  11.07 1.05 0.04         72
   24.0000    52.0000  10.02   5.56 1.00 0.19          5
   24.0000    56.0000 147.78  12.84 0.79 0.07          7
   24.0000    57.0000 159.20   6.91 1.01 0.09          5
   25.0000    36.0000 174.57  15.26 1.45 0.08         28
   25.0000    37.0000 179.00  13.60 1.23 0.02        295
   25.0000    38.0000 175.74  12.03 1.19 0.01        660
   25.0000    39.0000 174.37  12.22 1.30 0.02        462
   25.0000    40.0000 170.15  14.38 1.33 0.02        379
   25.0000    41.0000 167.72  15.11 1.31 0.03        185
   25.0000    42.0000 166.27  13.92 1.43 0.06         59
   25.0000    43.0000 168.41  18.56 1.38 0.06         59
   25.0000    44.0000 173.94  17.21 1.35 0.10         30
   25.0000    45.0000 177.93   8.92 0.99 0.04         16
   25.0000    46.0000 173.18  20.67 1.00 0.05         10
   25.0000    47.0000  99.00   0.00 1.15 0.00          1
   25.0000    48.0000  13.48  13.41 1.17 0.06         15
   25.0000    49.0000 175.86  18.75 1.18 0.04         70
   25.0000    50.0000 164.95  21.19 1.08 0.04         96
   25.0000    51.0000 167.33  17.59 1.07 0.05         58
   25.0000    52.0000   4.07   8.06 1.45 0.10         10
   25.0000    55.0000 146.07  10.31 0.78 0.06          7
   25.0000    56.0000 154.48   9.75 0.87 0.03         31
   25.0000    57.0000 156.34   7.99 0.89 0.03         26
   26.0000    35.0000  27.50  31.58 1.12 0.27          2
   26.0000    36.0000 175.65  14.26 1.26 0.04         44
   26.0000    37.0000 174.64  12.78 1.18 0.02        329
   26.0000    38.0000 174.13  11.63 1.17 0.01        541
   26.0000    39.0000 172.07  11.19 1.24 0.01        488
   26.0000    40.0000 167.48  13.46 1.39 0.02        305
   26.0000    41.0000 164.35  12.22 1.39 0.03        186
   26.0000    42.0000 169.48  10.58 1.39 0.05         62
   26.0000    43.0000 170.26  13.78 1.40 0.04         90
   26.0000    44.0000   0.89  12.62 1.39 0.08         27
   26.0000    45.0000   0.83   8.08 1.11 0.06          7
   26.0000    46.0000 164.87  19.26 1.21 0.16         12
   26.0000    47.0000 178.41  38.35 1.28 0.34          6
   26.0000    48.0000 164.73  17.76 1.02 0.05         59
   26.0000    49.0000 163.81  20.65 1.03 0.03        115
   26.0000    50.0000 166.51  19.39 1.10 0.04         82
