AKWAxx_SA SKS EQ141742053   17.26   42.70  166.00    6.00    0.90    0.15   26.05   26.04     51.849  178.735  109.000 A    42.9417    17.7546
AKWAxx_SA SKS EQ141800556   17.26   42.70  164.00    4.00    1.55    0.40   63.97   63.97     24.388  142.628   48.000 B    43.2916    17.5490
AKWAxx_SA SKS EQ141881123   17.26   42.70  175.00   10.50    1.00    0.23  303.04   33.04     14.724  -92.461   53.000 A    42.4036    17.4527
AKWAxx_SA SKS EQ142870351   17.26   42.70  166.00   13.00    0.95    0.25  298.08   28.08     12.526  -88.122   40.000 A    42.3732    17.4343
AKWAxx_SA SKS EQ143402205   17.26   42.70  163.00    3.50    1.30    0.18   96.45    6.45     -6.110  130.483  116.000 A    43.3775    17.1834
AKWAxx_SA SKS EQ150421857   17.26   42.70  176.00    2.50    1.90    0.28  251.96   71.96    -23.112  -66.689  223.000 A    42.2851    17.1249
AKWAxx_SA SKS EQ150472200   17.26   42.70  173.00   12.00    0.65    0.17  212.60   32.60    -55.520  -28.259   13.000 A    42.3584    16.7257
AKWAxx_SA SKS EQ150692055   17.26   42.70  146.00   14.00    1.15    0.35  284.95   14.95      6.776  -72.988  155.000 B    42.2629    17.3767
AMGESx_SA SKS EQ122901241   18.46   41.54    0.00   18.00    1.00    0.65   36.16   36.16     49.618  156.438   81.000 B    41.9315    18.9957
AMGESx_SA SKS EQ122970853   18.46   41.54    6.00   13.00    0.65    0.18   60.26   60.26     29.057  139.251  436.000 B    42.1454    18.8058
AMGESx_SA SKS EQ132470232   18.46   41.54  176.00   18.50    1.00    0.62   22.33   22.33     51.557 -174.767   20.000 B    41.7418    18.9513
AMGESx_SA SKS EQ132581621   18.46   41.54  174.00   10.00    1.15    0.38   22.30   22.29     51.575 -174.716   24.000 A    41.7415    18.9513
AMGESx_SA SKS EQ132850210   18.46   41.54  172.00    3.00    1.00    0.12  284.80   14.80     10.883  -62.310   63.000 B    40.9891    18.6056
AMGESx_SA SKS EQ141742053   18.46   41.54  176.00    8.00    1.20    0.27   25.40   25.40     51.849  178.735  109.000 B    41.7787    18.9627
AMGESx_SA SKS EQ141881123   18.46   41.54   17.00    6.00    2.20    0.75  302.96   32.96     14.724  -92.461   53.000 A    41.2342    18.6583
AMGESx_SA SKS EQ142870351   18.46   41.54   13.00    2.50    2.75    0.48  298.06   28.06     12.526  -88.122   40.000 A    41.2035    18.6394
ARSSxx_SA SKS EQ102810326   25.83   43.15  177.00    2.50    1.35    0.12   23.11   23.11     51.374 -175.361   19.000 A    43.3886    26.3893
ARSSxx_SA SKS EQ103111926   25.83   43.15    0.00    7.50    0.70    0.18   64.62   64.62     24.383  141.588  113.000 B    43.8017    26.1392
ARSSxx_SA SKS EQ103420524   25.83   43.15   10.00    4.00    1.15    0.17  211.81   31.81    -56.412  -25.741   29.400 B    42.8542    25.3532
ARSSxx_SA SKS EQ110531409   25.83   43.15  173.00    3.00    1.00    0.18   65.68   65.68     22.110  143.842  112.800 B    43.7724    26.1113
ARSSxx_SA SKS EQ110651432   25.83   43.15   11.00    5.00    1.40    0.25  212.18   32.18    -56.422  -27.063   87.700 A    42.8551    25.3615
ARSSxx_SA SKS EQ110971311   25.83   43.15    5.00    8.00    1.10    0.17  311.44   41.45     17.208  -94.338  166.200 A    42.8591    26.0868
ARSSxx_SA SKS EQ111750309   25.83   43.15    0.00    2.50    1.40    0.15   20.88   20.88     52.050 -171.836   52.000 A    43.3640    26.3910
ARSSxx_SA SKS EQ112420657   25.83   43.15  176.00    4.50    1.45    0.47   98.48    8.48     -6.362  126.752  469.800 A    43.8469    25.7261
ARSSxx_SA SKS EQ112451055   25.83   43.15  176.00    2.00    1.45    0.13   20.75   20.75     52.171 -171.708   32.000 A    43.3632    26.3926
ARSSxx_SA SKS EQ112451347   25.83   43.15    4.00    3.50    1.50    0.23  249.28   69.28    -28.398  -63.029  578.900 B    42.7551    25.6807
ARSSxx_SA SKS EQ112460448   25.83   43.15   16.00    5.00    1.45    0.38  212.10   32.10    -56.451  -26.847   84.000 B    42.8554    25.3602
ARSSxx_SA SKS EQ112571810   25.83   43.15    6.00    5.50    1.35    0.28   27.58   27.58     53.107  172.984   15.000 B    43.4643    26.4317
ARSSxx_SA SKS EQ120211847   25.83   43.15  176.00    3.50    1.10    0.08  308.46   38.46     14.873  -93.005   45.000 A    42.8492    26.0689
ARSSxx_SA SKS EQ120931736   25.83   43.15    9.00   10.50    1.10    0.25  314.04   44.04     16.395  -98.316    9.000 B    42.8866    26.0847
ARSSxx_SA SKS EQ121051056   25.83   43.15  156.00    5.50    1.10    0.18  216.59   36.59    -57.679  -65.308   15.000 B    42.9211    25.5217
ARSSxx_SA SKS EQ121222243   25.83   43.15    2.00   18.00    1.15    0.45  307.96   37.96     14.376  -92.897   14.000 B    42.8484    26.0653
