#upper, lower, time
6.000000, 2.000000, 20220819_140139
6.000000, 2.500000, 20220819_140141
6.000000, 3.000000, 20220819_140142
6.000000, 3.500000, 20220819_140143
6.000000, 4.000000, 20220819_140144
6.000000, 4.500000, 20220819_140145
6.000000, 5.000000, 20220819_140146
6.000000, 5.500000, 20220819_140147
6.000000, 6.000000, 20220819_140148
6.000000, 6.500000, 20220819_140149
6.500000, 0.500000, 20220819_140150
6.500000, 1.000000, 20220819_140151
6.500000, 1.500000, 20220819_140153
6.500000, 2.000000, 20220819_140154
6.500000, 2.500000, 20220819_140155
6.500000, 3.000000, 20220819_140156
6.500000, 3.500000, 20220819_140157
6.500000, 4.000000, 20220819_140158
6.500000, 4.500000, 20220819_140159
6.500000, 5.000000, 20220819_140200
6.500000, 5.500000, 20220819_140201
6.500000, 6.000000, 20220819_140202
6.500000, 6.500000, 20220819_140203
